"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Excel Esports",6,4,2,34.1,70,64,1.09,0.65,0.23,"2.4%",49,17.7,-105,"67%","50%","50%","50%","50%","57%","100%","50%","63%","50.7%","50.4%",3.32,1.35,1.48
"FC Schalke 04 Esports",6,3,3,36.1,78,79,0.99,0.72,0.67,"2.4%",56.9,-6.9,487,"67%","33%","83%","50%","33%","48%","50%","50%","38%","50.7%","50.5%",3.24,1.32,1.61
"Fnatic",6,4,2,34.6,87,83,1.05,0.82,0.06,"2.6%",63.2,3.5,732,"17%","50%","50%","42%","50%","43%","100%","17%","44%","50.9%","54.2%",3.29,1.34,1.55
"G2 Esports",6,2,4,33.6,67,109,0.61,0.87,-1.15,"-7.3%",36.8,-3.5,-1288,"50%","33%","17%","42%","67%","35%","0%","33%","33%","50.2%","49.4%",3.33,1.38,1.47
"MAD Lions",6,4,2,30.5,92,73,1.26,0.9,0.24,"3.2%",53.1,13.5,-127,"67%","67%","50%","50%","50%","50%",,"67%","75%","49.5%","47.3%",3.45,1.28,1.24
"Misfits Gaming",6,1,5,34.4,58,84,0.69,0.69,-0.53,"-4.9%",49.5,-32.8,25,"50%","17%","33%","50%","83%","55%","0%","50%","38%","50.3%","48.3%",3.09,1.23,1.34
"Origen",6,2,4,37.5,52,68,0.76,0.53,-0.35,"-4.0%",45.2,-11.8,0,"50%","50%","33%","67%","33%","42%","0%","17%","22%","50.2%","45.7%",4.12,1.34,1.56
"Rogue",6,5,1,36.8,85,42,2.02,0.58,1.43,"6.4%",72.8,10.6,2054,"50%","100%","100%","83%","50%","61%",,"67%","75%","48.9%","54.7%",3.31,1.26,1.58
"SK Gaming",6,3,3,34.7,84,72,1.17,0.75,-0.36,"0.3%",35.3,14.7,-1164,"33%","50%","33%","42%","50%","62%","33%","67%","50%","49.0%","50.5%",3.56,1.19,1.35
"Team Vitality",6,2,4,36.3,67,70,0.96,0.63,-0.31,"-1.1%",38.2,-4.9,-613,"50%","50%","50%","25%","33%","45%",,"50%","64%","49.5%","49.0%",4.29,1.7,1.61
