"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Excel Esports",6,4,2,33.6,78,60,1.3,0.68,1.09,"5.8%",61.3,5.3,1475,"67%","83%","83%","67%","0%","43%",,"50%","50%","50.8%","53.7%",3.21,1.35,1.46
"FC Schalke 04 Esports",6,1,5,31.7,37,75,0.49,0.59,-0.69,"-6.8%",37.7,-21,-1130,"50%","33%","33%","50%","50%","34%",,"17%","25%","49.5%","45.3%",3.35,1.34,1.32
"Fnatic",6,1,5,31.9,45,98,0.46,0.75,-0.57,"-6.6%",47.8,-31.2,-464,"67%","67%","33%","42%","17%","31%","50%","33%","38%","49.7%","50.1%",2.87,1.19,1.2
"G2 Esports",6,4,2,29.8,91,63,1.44,0.86,1.04,"4.4%",68.2,-1.5,1317,"67%","33%","67%","42%","83%","63%",,"17%","20%","50.6%","53.7%",3.26,1.33,1.4
"MAD Lions",6,5,1,32,87,50,1.74,0.71,-0.09,"3.7%",50.7,32.6,36,"33%","83%","33%","50%","33%","67%","100%","50%","57%","50.3%","50.8%",3.31,1.23,1.23
"Misfits Gaming",6,4,2,29.5,74,63,1.17,0.77,0.31,"0.8%",56.5,10.2,392,"33%","33%","50%","42%","50%","58%",,"50%","63%","50.6%","53.7%",2.92,1.24,1.24
"Origen",6,3,3,34.2,63,51,1.24,0.56,-0.4,"-1.1%",42.9,7.1,-587,"50%","17%","33%","50%","83%","47%",,"33%","29%","50.3%","46.6%",3.6,1.38,1.39
"Rogue",6,4,2,33.5,75,56,1.34,0.65,1.12,"4.6%",62.2,4.4,1424,"50%","83%","83%","83%","50%","57%",,"67%","88%","49.0%","53.0%",3.17,1.27,1.61
"SK Gaming",6,2,4,32.7,63,77,0.82,0.71,-0.83,"-2.3%",38.2,-4.8,-1184,"33%","17%","50%","50%","67%","64%","0%","50%","40%","49.8%","45.3%",3.2,1.17,1.18
"Team Vitality",6,2,4,33.3,53,75,0.71,0.64,-0.92,"-2.4%",34.5,-1.2,-1279,"50%","50%","33%","25%","67%","40%",,"67%","67%","49.3%","47.8%",3.79,1.59,1.37
