"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ashe","ADC",12,"63.2%","21.1%","84.2%","58%","33%",56,27,81,5.1,"72.5%","16.5%","8%",35,-156,4.7,9.3,"29.8%",539,"26.0%","26.0%",0.43,0.26
"Volibear","Jungle",12,"63.2%","21.1%","84.2%","33%","8%",23,38,86,2.9,"68.1%","22.8%","42%",-127,-202,-4.7,4.9,"13.3%",223,"11.3%","16.0%",0.45,0.45
"Renekton","Top",10,"52.6%","31.6%","89.5%","50%","0%",30,38,48,2.1,"53.8%","27.9%","30%",223,80,-0.8,8.4,"24.7%",378,"19.2%","22.8%",0.4,0.21
"Azir","Middle",8,"42.1%","36.8%","78.9%","50%","25%",30,22,47,3.5,"67.0%","17.3%","13%",-4,30,10.4,9.5,"28.9%",609,"28.4%","26.2%",0.49,0.29
"Leona","Support",8,"42.1%","0.0%","42.1%","50%","63%",1,23,52,2.3,"52.5%","26.1%","13%",-76,-255,0.3,1.2,"3.3%",96,"5.0%","7.8%",1.68,0.54
"Caitlyn","ADC",6,"31.6%","57.9%","89.5%","67%","0%",34,9,41,8.3,"71.4%","9.8%","17%",-29,51,4.8,10.6,"34.4%",634,"26.7%","28.7%",0.43,0.43
"Nautilus","Support",6,"31.6%","31.6%","63.2%","67%","67%",3,29,66,2.4,"65.1%","27.1%","17%",-115,-103,-3.2,1,"2.7%",137,"6.3%","8.3%",1.63,0.42
"Senna","ADC",6,"31.6%","26.3%","57.9%","67%","50%",20,10,49,6.9,"79.3%","16.7%","0%",-279,35,-15.8,7,"20.9%",490,"23.7%","20.7%",0.6,0.2
"Sylas","Middle",6,"31.6%","10.5%","42.1%","50%","67%",27,14,37,4.6,"68.8%","17.9%","17%",-140,101,-3.8,8.5,"24.8%",564,"26.5%","23.7%",0.39,0.16
"Camille","Top",5,"26.3%","5.3%","31.6%","60%","40%",21,9,20,4.6,"66.1%","18.0%","60%",69,52,-3.6,8.7,"28.0%",400,"22.7%","25.4%",0.34,0.14
"Ezreal","ADC",5,"26.3%","10.5%","36.8%","40%","80%",24,12,23,3.9,"70.1%","18.2%","40%",144,185,-1.2,9.9,"31.8%",640,"32.9%","28.6%",0.42,0.31
"Jayce","Top",5,"26.3%","15.8%","42.1%","60%","80%",23,12,32,4.6,"72.4%","20.7%","40%",-151,-159,-2.8,8.3,"25.2%",619,"29.9%","24.0%",0.43,0.26
"Lillia","Jungle",5,"26.3%","26.3%","52.6%","100%","40%",11,9,52,7,"63.6%","21.4%","60%",342,496,11.8,6.9,"18.0%",375,"18.4%","17.9%",0.51,0.41
"Sett","Jungle",5,"26.3%","42.1%","94.7%","100%","60%",20,12,43,5.3,"67.7%","21.4%","60%",438,65,0.6,5.2,"14.4%",256,"11.5%","17.2%",0.38,0.64
"Bard","Support",4,"21.1%","36.8%","57.9%","50%","25%",2,10,43,4.5,"73.8%","18.2%","0%",-18,147,3.5,1.6,"4.2%",173,"9.0%","9.1%",2.49,0.63
"Jhin","ADC",4,"21.1%","0.0%","21.1%","25%","100%",15,4,20,8.8,"72.9%","6.3%","25%",110,213,-4.3,10,"31.3%",578,"27.2%","26.5%",0.41,0.23
"Mordekaiser","Top",4,"21.1%","0.0%","21.1%","75%","50%",16,20,27,2.2,"55.1%","29.9%","0%",-316,-238,2.8,7.6,"24.3%",536,"23.9%","22.2%",0.39,0.12
"Nidalee","Jungle",4,"21.1%","42.1%","63.2%","50%","25%",10,8,19,3.6,"59.2%","13.8%","25%",479,976,15.8,6.6,"19.1%",396,"21.5%","21.8%",0.8,0.51
"Sett","Support",4,"21.1%","42.1%","94.7%","25%","50%",4,15,11,1,"42.9%","22.4%","25%",-25,-6,3.3,1.4,"3.3%",176,"9.2%","8.5%",1.53,0.48
"Twisted Fate","Middle",4,"21.1%","68.4%","89.5%","50%","0%",8,7,31,5.6,"76.5%","15.2%","25%",491,179,4.5,9.5,"27.0%",463,"23.8%","26.5%",0.28,0.35
"Akali","Middle",3,"15.8%","36.8%","57.9%","67%","67%",13,6,17,5,"65.2%","17.6%","33%",-127,-147,-11.7,9.2,"26.7%",460,"24.9%","24.0%",0.46,0.14
"Braum","Support",3,"15.8%","10.5%","26.3%","67%","33%",0,5,26,5.2,"70.3%","22.7%","0%",61,309,-0.3,1.1,"3.0%",143,"7.8%","8.7%",1.32,0.23
"Gnar","Top",3,"15.8%","10.5%","26.3%","0%","100%",6,16,18,1.5,"64.9%","20.5%","0%",-798,-234,-2,7.5,"21.6%",571,"25.4%","21.7%",0.29,0.25
"Kalista","ADC",3,"15.8%","21.1%","36.8%","0%","67%",9,14,10,1.4,"67.9%","19.4%","0%",-167,-176,6.7,9.2,"31.9%",467,"24.1%","27.6%",0.67,0.37
"Lulu","Support",3,"15.8%","0.0%","15.8%","33%","33%",1,5,15,3.2,"66.7%","13.9%","0%",83,343,-1.7,1.4,"3.1%",155,"8.5%","8.9%",1.38,0.41
"Olaf","Jungle",3,"15.8%","15.8%","31.6%","33%","100%",7,15,28,2.3,"83.3%","28.8%","33%",-156,167,5.7,4.7,"11.1%",379,"17.8%","16.0%",0.39,0.21
"Pantheon","Support",3,"15.8%","42.1%","57.9%","0%","33%",7,16,20,1.7,"64.3%","22.2%","0%",-23,-198,-15,1.7,"5.2%",342,"15.4%","9.8%",2.48,0.75
"Ekko","Middle",2,"10.5%","5.3%","15.8%","50%","100%",10,4,7,4.3,"47.2%","19.0%","50%",241,348,-4,9.7,"29.3%",464,"26.5%","24.4%",0.21,0.2
"Galio","Middle",2,"10.5%","21.1%","31.6%","0%","100%",2,9,7,1,"56.3%","25.0%","0%",-497,-279,-13,8.6,"24.8%",430,"23.6%","21.7%",0.51,0.17
"Graves","Jungle",2,"10.5%","0.0%","10.5%","50%","100%",5,2,11,8,"76.2%","8.7%","50%",-211,-278,-4,7.3,"23.0%",487,"21.1%","20.0%",0.38,0.79
"Hecarim","Jungle",2,"10.5%","5.3%","15.8%","0%","100%",9,8,4,1.6,"86.7%","17.8%","0%",-708,-1103,-20.5,5.8,"17.7%",373,"19.6%","23.8%",0.27,0.25
"Kennen","Top",2,"10.5%","15.8%","26.3%","50%","50%",8,6,8,2.7,"57.1%","28.6%","50%",176,-7,2,8.1,"25.2%",849,"37.4%","24.7%",0.28,0.22
"Lee Sin","Jungle",2,"10.5%","5.3%","15.8%","50%","100%",4,9,14,2,"56.3%","24.3%","50%",-464,-737,-9.5,4.4,"11.0%",268,"12.9%","13.4%",0.57,0.5
"Orianna","Middle",2,"10.5%","21.1%","31.6%","50%","0%",3,6,12,2.5,"57.7%","17.6%","0%",-74,370,10,8.8,"24.2%",456,"22.9%","21.4%",0.5,0.2
"Shen","Support",2,"10.5%","0.0%","10.5%","50%","100%",3,7,31,4.9,"75.6%","18.9%","50%",264,428,6.5,1.4,"3.4%",170,"7.2%","9.6%",2.36,0.56
"Wukong","Top",2,"10.5%","15.8%","31.6%","50%","50%",4,3,8,4,"60.0%","20.0%","0%",-587,-351,-13.5,7.8,"25.1%",297,"19.7%","20.2%",0.28,0.06
"Zoe","Middle",2,"10.5%","57.9%","68.4%","0%","50%",1,6,9,1.7,"47.6%","14.3%","50%",-34,-250,-7.5,8.8,"28.8%",559,"26.9%","21.9%",0.39,0.16
"Aatrox","Top",1,"5.3%","5.3%","10.5%","100%","100%",6,5,16,4.4,"71.0%","22.7%","0%",-44,758,5,6.6,"23.7%",793,"23.7%","21.4%",0.25,0.12
"Akali","Top",1,"5.3%","36.8%","57.9%","100%","100%",3,1,7,10,"58.8%","20.0%","0%",139,-90,2,9,"25.2%",516,"21.5%","21.2%",0.42,0.05
"Alistar","Support",1,"5.3%","10.5%","15.8%","100%","100%",2,0,19,21,"70.0%","0.0%","100%",517,165,-6,1,"2.7%",189,"7.2%","10.7%",1.6,0.37
"Darius","Top",1,"5.3%","0.0%","5.3%","0%","100%",6,9,4,1.1,"58.8%","33.3%","100%",1312,1009,17,6.4,"15.9%",550,"20.1%","22.5%",0.46,0.03
"Evelynn","Jungle",1,"5.3%","0.0%","5.3%","0%","100%",3,4,6,2.3,"81.8%","21.1%","0%",-705,-510,-20,5.1,"14.4%",320,"16.3%","17.5%",0.46,0.12
"Gragas","Middle",1,"5.3%","0.0%","5.3%","0%","0%",1,6,2,0.5,"75.0%","33.3%","100%",-228,-362,0,7.6,"19.3%",441,"20.3%","20.2%",0.26,0.2
"Irelia","Top",1,"5.3%","5.3%","10.5%","0%","100%",4,11,6,0.9,"71.4%","42.3%","0%",441,-224,11,7.1,"18.5%",472,"24.3%","19.8%",0.32,0.09
"Karma","Support",1,"5.3%","26.3%","31.6%","0%","0%",0,1,3,3,"75.0%","5.6%","100%",-640,-476,-11,1,"3.5%",280,"12.9%","8.4%",1.5,0.88
"Kassadin","Middle",1,"5.3%","0.0%","5.3%","100%","100%",4,2,7,5.5,"78.6%","22.2%","0%",-218,-93,-12,9,"27.6%",521,"26.0%","23.7%",0.23,0.26
"Kha'Zix","Jungle",1,"5.3%","0.0%","5.3%","0%","100%",0,3,4,1.3,"100.0%","17.6%","0%",-142,-414,-7,6.2,"16.0%",120,"10.2%","18.4%",0.61,0.31
"LeBlanc","Middle",1,"5.3%","0.0%","5.3%","100%","100%",11,2,11,11,"71.0%","9.1%","0%",397,-498,-9,7.4,"25.9%",951,"28.4%","23.8%",0.3,0.6
"Lissandra","Middle",1,"5.3%","0.0%","5.3%","100%","100%",7,2,10,8.5,"70.8%","40.0%","0%",286,-171,11,8.5,"20.5%",556,"21.5%","24.6%",0.36,0.43
"Lucian","Middle",1,"5.3%","68.4%","78.9%","100%","0%",2,0,7,9,"81.8%","0.0%","0%",-31,-633,-8,9.1,"31.4%",326,"21.4%","22.7%",0.29,0.29
"Lucian","Top",1,"5.3%","68.4%","78.9%","0%","0%",1,4,3,1,"100.0%","23.5%","0%",604,540,19,8.9,"24.6%",499,"32.5%","26.5%",0.43,0.09
"Miss Fortune","ADC",1,"5.3%","0.0%","5.3%","0%","100%",1,2,3,2,"80.0%","11.8%","100%",757,226,10,10.9,"36.2%",637,"38.6%","29.7%",0.34,0.31
"Ornn","Top",1,"5.3%","5.3%","10.5%","100%","100%",2,2,4,3,"60.0%","33.3%","100%",-429,-108,-13,8.5,"22.8%",497,"24.4%","20.3%",0.53,0.21
"Qiyana","Middle",1,"5.3%","5.3%","10.5%","0%","0%",1,4,3,1,"80.0%","16.7%","0%",-286,171,-11,8,"25.6%",320,"18.5%","22.9%",0.94,0.65
"Quinn","Top",1,"5.3%","5.3%","10.5%","0%","100%",1,1,2,3,"75.0%","6.7%","0%",631,224,17,9.9,"30.6%",487,"36.9%","29.4%",0.4,0.33
"Renekton","Middle",1,"5.3%","31.6%","89.5%","100%","100%",6,4,10,4,"64.0%","20.0%","0%",539,-39,14,8.4,"25.9%",585,"21.5%","24.4%",0.23,0.21
"Sett","Middle",1,"5.3%","42.1%","94.7%","100%","100%",2,0,14,16,"72.7%","0.0%","0%",-472,-508,-7,7.1,"19.0%",255,"11.9%","20.6%",0.2,0.45
"Skarner","Jungle",1,"5.3%","5.3%","10.5%","0%","100%",2,6,9,1.8,"64.7%","22.2%","100%",-221,370,9,4.4,"12.9%",215,"7.8%","15.1%",0.44,0.29
"Tahm Kench","Support",1,"5.3%","31.6%","36.8%","100%","0%",0,1,12,12,"70.6%","25.0%","100%",112,-398,-4,1,"1.8%",157,"8.6%","8.5%",1.23,0.09
"Thresh","Support",1,"5.3%","0.0%","5.3%","100%","0%",0,2,9,4.5,"64.3%","22.2%","0%",18,57,-1,1.1,"2.7%",88,"4.4%","8.6%",1.47,0.34
"Viktor","Middle",1,"5.3%","0.0%","5.3%","0%","100%",0,3,0,0,"0.0%","27.3%","0%",31,633,8,8.4,"20.7%",387,"34.7%","21.4%",0.54,0.05
"Wukong","Support",1,"5.3%","15.8%","31.6%","100%","100%",5,3,11,5.3,"59.3%","17.6%","0%",566,529,50,6.9,"24.0%",396,"14.5%","19.7%",0.35,0.38
"Ziggs","ADC",1,"5.3%","0.0%","5.3%","100%","100%",3,0,8,11,"78.6%","0.0%","0%",16,-122,3,11.1,"34.2%",870,"43.4%","29.0%",0.4,0.26
