"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Bdd","Gen.G","Middle",9,"67%","78%",36,9,40,8.4,"62.8%","29.8%","12.0%","11%",1,-62,-0.9,9.3,"25.8%",445,"24.6%","25.0%",0.55,0.23
"Ben","Afreeca Freecs","Support",9,"56%","33%",1,20,74,3.8,"72.1%","1.0%","21.1%","33%",-81,9,-1.1,0.9,"2.2%",118,"6.9%","8.0%",1.56,0.21
"BeryL","DAMWON Gaming","Support",9,"78%","44%",20,17,67,5.1,"68.5%","15.7%","20.7%","22%",464,23,19,3,"9.9%",207,"10.2%","13.6%",1.62,0.49
"Canna","T1","Top",9,"67%","56%",27,12,41,5.7,"51.5%","20.5%","16.2%","22%",20,-50,-2.4,8.7,"25.5%",402,"22.4%","22.6%",0.44,0.25
"Canyon","DAMWON Gaming","Jungle",9,"78%","44%",12,14,69,5.8,"63.8%","9.4%","17.1%","33%",215,386,10.9,5.8,"15.9%",243,"11.9%","16.6%",0.48,0.51
"Chovy","DRX","Middle",9,"89%","33%",31,11,57,8,"69.3%","24.4%","14.7%","11%",327,389,14.6,9.4,"25.1%",599,"26.8%","24.3%",0.46,0.37
"Clid","Gen.G","Jungle",9,"67%","56%",25,20,56,4.1,"66.9%","20.7%","26.7%","33%",101,61,-0.4,5.6,"16.4%",251,"13.2%","17.3%",0.68,0.5
"Cuzz","T1","Jungle",3,"67%","33%",3,4,18,5.3,"77.8%","11.1%","22.2%","33%",-159,-384,-2.3,5,"11.5%",162,"10.8%","14.8%",0.46,0.53
"Deft","DRX","ADC",9,"89%","67%",34,13,53,6.7,"68.5%","26.8%","17.3%","22%",329,289,5.1,9.1,"27.3%",742,"32.2%","24.3%",0.56,0.4
"Doran","DRX","Top",9,"89%","33%",24,25,49,2.9,"57.5%","18.9%","33.3%","22%",122,31,1.2,8.7,"25.9%",412,"18.9%","22.5%",0.43,0.14
"Effort","T1","Support",9,"67%","78%",6,27,87,3.4,"70.5%","4.5%","36.5%","44%",109,135,1.2,1.1,"2.6%",137,"7.5%","8.5%",1.86,0.47
"Ellim","T1","Jungle",6,"67%","33%",18,6,48,11,"62.9%","17.1%","10.7%","33%",192,-51,0,5.2,"12.5%",229,"11.1%","15.5%",0.56,0.44
"Faker","T1","Middle",9,"67%","11%",31,15,54,5.7,"64.4%","23.5%","20.3%","22%",170,4,3,9.1,"24.4%",466,"26.6%","24.7%",0.59,0.32
"Fly","Afreeca Freecs","Middle",9,"56%","78%",26,17,51,4.5,"74.0%","25.0%","17.9%","22%",-228,-167,-4.9,8.1,"22.5%",447,"25.2%","22.9%",0.49,0.19
"Ghost","DAMWON Gaming","ADC",9,"78%","56%",33,17,56,5.2,"70.1%","26.0%","20.7%","11%",-190,-16,-23,7.5,"22.6%",508,"25.1%","21.1%",0.74,0.34
"Kellin","Gen.G","Support",4,"50%","25%",2,10,28,3,"65.2%","4.3%","27.8%","25%",30,-196,-2.5,1.1,"1.9%",151,"8.6%","8.0%",2.1,0.34
"Keria","DRX","Support",9,"89%","56%",12,8,73,10.6,"66.9%","9.4%","10.7%","22%",267,-5,10.3,1.9,"4.5%",158,"7.0%","10.5%",1.33,0.39
"Kiin","Afreeca Freecs","Top",9,"56%","56%",29,19,39,3.6,"65.4%","27.9%","20.0%","22%",4,72,2.4,8.5,"26.1%",445,"25.1%","23.6%",0.47,0.25
"Life","Gen.G","Support",5,"80%","80%",2,9,49,5.7,"68.0%","2.7%","23.1%","40%",-437,-243,-21.8,1,"2.5%",129,"7.2%","8.6%",1.44,0.37
"Mystic","Afreeca Freecs","ADC",9,"56%","11%",37,20,40,3.9,"74.0%","35.6%","21.1%","33%",-269,-140,-2.8,10.6,"36.1%",533,"31.6%","29.2%",0.36,0.57
"Nuguri","DAMWON Gaming","Top",9,"78%","56%",23,26,47,2.7,"55.1%","18.1%","31.7%","11%",158,74,4.2,8.8,"25.6%",513,"25.7%","24.0%",0.45,0.19
"Pyosik","DRX","Jungle",9,"89%","78%",26,18,65,5.1,"71.7%","20.5%","24.0%","33%",175,239,6.9,6.3,"17.2%",327,"15.1%","18.5%",0.62,0.41
"Rascal","Gen.G","Top",9,"67%","44%",16,13,61,5.9,"63.6%","13.2%","17.3%","56%",-17,-70,-1.9,8.5,"23.5%",365,"21.4%","21.6%",0.51,0.17
"Ruler","Gen.G","ADC",9,"67%","44%",40,14,47,6.2,"71.9%","33.1%","18.7%","11%",425,438,25.4,10.4,"32.0%",611,"33.0%","27.7%",0.42,0.49
"ShowMaker","DAMWON Gaming","Middle",9,"78%","44%",39,8,50,11.1,"70.1%","30.7%","9.8%","11%",265,380,7.2,9.1,"26.0%",552,"27.2%","24.6%",0.43,0.17
"Spirit","Afreeca Freecs","Jungle",9,"56%","22%",11,19,64,3.9,"72.1%","10.6%","20.0%","44%",-15,24,-1.8,5.1,"13.1%",194,"11.2%","16.2%",0.57,0.69
"Teddy","T1","ADC",9,"67%","67%",47,10,53,10,"75.8%","35.6%","13.5%","44%",313,91,3.2,11,"35.3%",579,"32.6%","28.8%",0.72,0.44
