"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",14,6,8,28.4,140,169,0.83,0.78,-0.48,"-1.6%",41.7,1.2,-408,"57%","36%","36%","50%","36%","45%",,"36%","43%","49.8%","47.1%",3.4,1.3,1.45
"DAMWON Gaming",15,13,2,27.4,285,108,2.64,0.95,2.82,"17.4%",83.3,3.3,3407,"67%","93%","100%","82%","60%","76%","100%","67%","86%","50.8%","60.4%",3.35,1.25,1.51
"DRX",20,13,7,32.1,253,244,1.04,0.77,0.56,"4.2%",53.7,11.3,708,"55%","45%","60%","46%","30%","48%","0%","60%","61%","51.2%","53.3%",3.51,1.32,1.69
"Gen.G",15,13,2,32.1,253,129,1.96,0.79,1.58,"10.9%",75.6,11.1,1772,"60%","87%","87%","79%","73%","67%",,"73%","81%","51.2%","53.1%",3.59,1.52,1.82
"Hanwha Life Esports",16,3,13,29.9,117,220,0.53,0.7,-1.48,"-11.3%",33.3,-14.6,-1409,"38%","31%","13%","36%","50%","39%",,"19%","27%","48.7%","45.0%",3.92,1.74,1.46
"KT Rolster",17,7,10,34.3,175,190,0.92,0.63,-0.14,"-1.2%",53,-11.9,-104,"53%","59%","53%","56%","82%","51%","100%","41%","48%","49.2%","47.4%",3.68,1.57,1.92
"SANDBOX Gaming",18,10,8,32.4,225,203,1.11,0.73,0.04,"-0.9%",47.5,8.1,-87,"50%","50%","50%","54%","44%","45%","50%","44%","53%","50.5%","48.5%",3.56,1.64,1.92
"SeolHaeOne Prince",16,2,14,32.2,113,274,0.41,0.75,-1.76,"-12.2%",25.8,-13.3,-2699,"44%","25%","25%","19%","25%","37%",,"13%","13%","48.4%","46.4%",3.48,1.32,1.64
"T1",16,11,5,32.3,210,136,1.54,0.67,0.6,"5.3%",54.9,13.9,645,"44%","50%","50%","41%","56%","53%","50%","50%","53%","50.8%","55.1%",3.75,1.39,1.87
"Team Dynamics",17,4,13,31.9,138,242,0.57,0.7,-1.33,"-9.3%",34.1,-10.6,-1611,"35%","29%","29%","41%","47%","45%","33%","29%","39%","49.1%","44.2%",3.66,1.36,1.77
