"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sett","Support",4,"10.8%","51.4%","89.2%","50%","25%",7,13,25,2.5,"55.2%","27.1%","25%",328,41,2.8,1.6,"4.6%",207,"11.1%","10.0%",1.5,0.48
"Tahm Kench","Support",4,"10.8%","18.9%","29.7%","75%","75%",1,4,34,8.8,"60.3%","12.9%","25%",-91,-229,-1.8,1.1,"2.3%",151,"7.5%","8.8%",1.53,0.26
"Akali","Top",3,"8.1%","0.0%","13.5%","33%","100%",4,13,14,1.4,"60.0%","28.3%","0%",-366,-395,-7.3,7.3,"22.9%",323,"21.8%","19.9%",0.21,0.18
"Alistar","Support",3,"8.1%","0.0%","8.1%","67%","67%",0,10,26,2.6,"63.4%","28.6%","0%",-79,-55,-2.3,0.7,"1.4%",77,"3.8%","7.1%",1.69,0.19
"Gnar","Top",3,"8.1%","0.0%","8.1%","0%","33%",5,16,11,1,"61.5%","23.9%","0%",-284,44,-10,6.6,"21.3%",543,"27.7%","19.8%",0.41,0.17
"Karma","Middle",3,"8.1%","81.1%","94.6%","0%","0%",2,11,10,1.1,"57.1%","20.4%","0%",-266,-314,-10.7,6.8,"18.2%",231,"14.6%","18.0%",0.55,0.19
"Leona","Support",3,"8.1%","8.1%","16.2%","67%","67%",1,10,39,4,"74.1%","24.4%","67%",124,-257,-2.3,0.9,"2.2%",122,"5.8%","8.3%",1.68,0.41
"Mordekaiser","Top",3,"8.1%","10.8%","18.9%","67%","67%",8,7,11,2.7,"47.5%","26.9%","67%",198,293,4.7,8.1,"25.0%",398,"22.0%","21.8%",0.48,0.09
"Orianna","Middle",3,"8.1%","2.7%","10.8%","33%","100%",7,5,16,4.6,"67.6%","12.5%","0%",-255,-42,-2.3,9.1,"26.3%",488,"26.6%","23.9%",0.45,0.25
"Senna","Support",3,"8.1%","29.7%","48.6%","0%","33%",2,11,11,1.2,"81.3%","18.6%","33%",43,-62,-7,0.9,"3.7%",256,"14.6%","11.0%",1.39,0.42
"Thresh","Support",3,"8.1%","2.7%","10.8%","67%","67%",2,7,32,4.9,"64.2%","21.9%","67%",60,517,5,0.9,"1.8%",106,"4.8%","8.4%",1.68,0.29
"Vladimir","Top",3,"8.1%","0.0%","8.1%","67%","100%",7,4,16,5.8,"76.7%","16.7%","33%",-46,-103,2,9.3,"25.2%",455,"29.9%","23.3%",0.56,0.1
"Yuumi","Support",3,"8.1%","5.4%","13.5%","33%","33%",1,4,8,2.3,"50.0%","9.8%","0%",-160,82,3.7,1.1,"3.4%",266,"17.2%","8.8%",1.17,0.14
"Aatrox","Top",2,"5.4%","8.1%","13.5%","0%","100%",1,7,1,0.3,"22.2%","24.1%","0%",-441,-322,-9,7.9,"24.7%",315,"20.5%","23.2%",0.39,0.1
"Akali","Middle",2,"5.4%","0.0%","13.5%","100%","100%",14,3,8,7.3,"57.9%","20.0%","0%",253,476,2.5,8.7,"24.1%",563,"23.8%","24.3%",0.38,0.07
"Ekko","Middle",2,"5.4%","2.7%","10.8%","50%","100%",2,3,6,2.7,"40.0%","21.4%","0%",-122,-305,-14,8,"14.5%",328,"19.1%","19.9%",0.44,0.27
"Heimerdinger","ADC",2,"5.4%","5.4%","10.8%","0%","100%",5,6,3,1.3,"80.0%","15.4%","0%",104,198,-2.5,7.7,"23.7%",632,"34.9%","24.9%",0.42,0.12
"Karthus","Jungle",2,"5.4%","13.5%","18.9%","100%","100%",8,1,16,24,"70.6%","7.7%","0%",170,407,19,9,"22.4%",613,"28.5%","22.4%",0.56,0.26
"Kassadin","Middle",2,"5.4%","5.4%","10.8%","50%","100%",12,2,5,8.5,"94.4%","12.5%","50%",-7,-129,5,8.3,"22.1%",605,"32.8%","25.7%",0.36,0.29
"Lucian","ADC",2,"5.4%","8.1%","16.2%","50%","100%",4,3,6,3.3,"62.5%","12.0%","0%",-291,-655,-15,9.8,"32.5%",370,"19.8%","28.0%",0.38,0.29
"Lux","Support",2,"5.4%","0.0%","5.4%","0%","50%",1,6,9,1.7,"83.3%","20.7%","50%",239,203,1,1.8,"5.5%",160,"13.4%","10.3%",1.99,0.52
"Ornn","Top",2,"5.4%","2.7%","8.1%","0%","100%",3,8,7,1.3,"62.5%","24.2%","0%",-654,-452,-8,7.7,"33.1%",355,"21.9%","22.3%",0.39,0.1
"Poppy","Jungle",2,"5.4%","8.1%","13.5%","50%","50%",4,3,13,5.7,"70.8%","21.4%","100%",739,343,3.5,5.2,"14.9%",263,"12.2%","16.2%",1.06,0.64
"Rek'Sai","Jungle",2,"5.4%","13.5%","18.9%","100%","100%",14,3,14,9.3,"70.0%","21.4%","100%",482,752,19.5,6.8,"16.2%",406,"17.6%","22.7%",0.29,0.49
"Taric","Support",2,"5.4%","13.5%","18.9%","50%","50%",1,3,16,5.7,"81.0%","15.8%","50%",342,-215,-1,1.1,"4.4%",131,"6.9%","9.2%",1.13,0.11
"Blitzcrank","Support",1,"2.7%","2.7%","5.4%","0%","100%",0,5,5,1,"41.7%","20.8%","0%",-375,-573,0,1.3,"3.7%",117,"5.9%","8.0%",1.67,0.59
"Camille","Middle",1,"2.7%","21.6%","56.8%","0%","0%",0,8,0,0,"0.0%","28.6%","0%",-736,-296,-18,7.7,"28.6%",268,"15.4%","22.0%",0.4,0.24
"Ekko","Jungle",1,"2.7%","2.7%","10.8%","0%","0%",2,3,5,2.3,"63.6%","23.1%","100%",-69,-563,-10,6,"16.6%",309,"16.9%","19.2%",1.07,0.64
"Gragas","Support",1,"2.7%","0.0%","2.7%","0%","100%",1,2,6,3.5,"63.6%","15.4%","100%",248,401,1,1.1,"2.1%",215,"11.7%","9.2%",1.53,0.28
"Hecarim","Jungle",1,"2.7%","0.0%","2.7%","0%","100%",0,4,2,0.5,"100.0%","28.6%","100%",-12,-185,-11,6.4,"23.9%",194,"19.7%","21.1%",0.36,0.28
"Illaoi","Top",1,"2.7%","2.7%","5.4%","0%","0%",0,4,1,0.3,"100.0%","28.6%","0%",-733,-946,-15,7.3,"25.3%",341,"27.3%","23.1%",0.5,0.11
"Irelia","Middle",1,"2.7%","0.0%","2.7%","0%","100%",1,2,0,0.5,"50.0%","14.3%","0%",68,332,5,9,"29.3%",165,"16.7%","26.8%",0.36,0.24
"Kai'Sa","ADC",1,"2.7%","2.7%","5.4%","0%","100%",6,2,7,6.5,"81.3%","9.5%","0%",779,456,8,11,"37.4%",643,"26.4%","32.3%",0.35,0.35
"Karma","Support",1,"2.7%","81.1%","94.6%","100%","0%",0,2,8,4,"72.7%","66.7%","0%",96,264,-1,1.3,"2.7%",143,"7.8%","9.3%",1.61,0.64
"Karma","Top",1,"2.7%","81.1%","94.6%","0%","0%",2,4,4,1.5,"54.5%","30.8%","0%",-134,-252,1,7.1,"24.1%",418,"22.8%","19.6%",0.58,0.12
"Kayle","Top",1,"2.7%","0.0%","2.7%","100%","100%",4,1,5,9,"64.3%","100.0%","0%",733,946,15,8.7,"26.5%",653,"28.0%","24.3%",0.5,0.14
"Lucian","Middle",1,"2.7%","8.1%","16.2%","0%","0%",0,2,3,1.5,"42.9%","18.2%","0%",195,162,9,9.3,"25.8%",308,"16.5%","22.8%",0.63,0.52
"Lulu","Support",1,"2.7%","0.0%","2.7%","100%","100%",0,2,10,5,"90.9%","28.6%","100%",183,15,9,1.2,"2.6%",138,"8.4%","8.8%",1.61,0.4
"Miss Fortune","ADC",1,"2.7%","0.0%","2.7%","100%","100%",4,1,6,10,"58.8%","14.3%","0%",185,511,-5,9.9,"30.3%",352,"16.7%","22.6%",0.45,0.45
"Quinn","Top",1,"2.7%","8.1%","10.8%","0%","100%",1,2,1,1,"50.0%","28.6%","0%",81,-175,-1,9.5,"30.3%",579,"28.8%","27.5%",0.37,0.23
"Sona","ADC",1,"2.7%","0.0%","2.7%","0%","0%",0,3,1,0.3,"50.0%","21.4%","0%",-740,-609,-62,3.3,"11.1%",116,"11.8%","14.9%",0.52,0.28
"Soraka","Support",1,"2.7%","0.0%","2.7%","0%","100%",1,2,0,0.5,"50.0%","11.8%","0%",-350,511,-8,1.3,"5.6%",176,"13.7%","10.6%",1,0.24
"Sylas","Top",1,"2.7%","18.9%","37.8%","100%","100%",5,1,9,14,"73.7%","16.7%","100%",-378,-220,-18,7.6,"26.6%",593,"27.8%","22.6%",0.38,0.15
"Syndra","Middle",1,"2.7%","5.4%","8.1%","100%","0%",4,0,5,9,"64.3%","0.0%","100%",795,677,3,8.1,"23.0%",460,"19.8%","22.4%",0.46,0.32
"Volibear","Top",1,"2.7%","73.0%","100.0%","0%","0%",3,6,7,1.7,"62.5%","28.6%","0%",131,-84,-13,5.8,"18.3%",472,"19.4%","19.3%",0.44,0.18
"Wukong","ADC",1,"2.7%","32.4%","54.1%","0%","100%",2,5,2,0.8,"66.7%","25.0%","100%",234,-336,-19,6.6,"22.8%",159,"9.5%","21.3%",0.51,0.33
"Wukong","Support",1,"2.7%","32.4%","54.1%","0%","100%",0,1,0,0,"0.0%","9.1%","0%",1154,118,70,8.7,"26.6%",168,"12.3%","23.7%",0.42,0.23
"Malphite","-",0,"0%","2.7%","2.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Morgana","-",0,"0%","5.4%","5.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
