"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ashe","ADC",18,"48.6%","18.9%","67.6%","61%","39%",42,33,104,4.4,"64.3%","18.4%","6%",99,163,4.2,9.6,"30.3%",413,"23.4%","24.8%",0.41,0.34
"Aphelios","ADC",17,"45.9%","27.0%","73.0%","35%","35%",48,39,62,2.8,"59.8%","17.5%","24%",-113,-205,0.6,9.9,"34.4%",506,"28.6%","27.2%",0.45,0.44
"Lee Sin","Jungle",16,"43.2%","5.4%","48.6%","44%","44%",46,41,94,3.4,"74.1%","19.9%","6%",-162,-267,-6.8,5.3,"14.8%",226,"12.1%","18.4%",0.6,0.38
"Olaf","Jungle",16,"43.2%","29.7%","73.0%","38%","44%",24,44,78,2.3,"64.6%","20.2%","44%",6,9,2.1,5.3,"13.7%",245,"14.0%","16.8%",0.5,0.46
"Kennen","Top",15,"40.5%","21.6%","62.2%","60%","27%",49,44,80,2.9,"61.1%","24.6%","13%",146,127,5.7,8.5,"25.1%",551,"29.2%","23.2%",0.43,0.24
"Ezreal","ADC",14,"37.8%","27.0%","64.9%","64%","50%",58,22,67,5.7,"64.4%","14.0%","36%",-67,103,5.1,10,"31.6%",648,"31.8%","27.1%",0.42,0.27
"Zoe","Middle",14,"37.8%","29.7%","67.6%","64%","43%",52,17,83,7.9,"65.2%","13.3%","14%",87,32,0.6,8.1,"22.0%",611,"29.7%","22.6%",0.46,0.19
"Azir","Middle",13,"35.1%","27.0%","62.2%","46%","23%",28,34,42,2.1,"56.0%","21.8%","23%",202,96,12.8,9.4,"25.1%",497,"30.5%","24.7%",0.46,0.36
"Camille","Top",12,"32.4%","21.6%","56.8%","75%","33%",46,26,58,4,"64.2%","25.0%","25%",-197,-169,-8.1,8.9,"28.1%",451,"24.4%","25.2%",0.37,0.2
"Nautilus","Support",11,"29.7%","8.1%","37.8%","45%","45%",5,23,72,3.3,"66.4%","19.2%","18%",-139,15,-7.6,1.2,"3.0%",134,"7.2%","8.7%",1.48,0.35
"Renekton","Top",11,"29.7%","24.3%","54.1%","45%","45%",23,24,46,2.9,"62.2%","18.0%","27%",345,270,8.6,8.8,"25.5%",410,"24.2%","24.1%",0.4,0.24
"Bard","Support",9,"24.3%","59.5%","83.8%","78%","44%",4,13,86,6.9,"70.3%","17.6%","11%",31,161,-0.6,1.3,"3.6%",157,"7.6%","8.9%",2.29,0.5
"Pantheon","Support",9,"24.3%","16.2%","40.5%","67%","33%",20,27,46,2.4,"55.0%","31.4%","11%",54,-150,1.1,1.8,"6.7%",283,"15.4%","10.7%",2.19,0.65
"Volibear","Jungle",9,"24.3%","73.0%","100.0%","78%","0%",23,20,58,4.1,"68.1%","24.7%","33%",18,104,0.8,5,"13.2%",215,"11.6%","16.7%",0.39,0.46
"Braum","Support",8,"21.6%","2.7%","24.3%","25%","63%",2,26,52,2.1,"68.4%","21.3%","13%",-249,-98,0.9,1.1,"2.4%",147,"8.0%","8.0%",1.65,0.37
"Jayce","Top",8,"21.6%","24.3%","45.9%","75%","63%",24,20,43,3.4,"54.9%","28.2%","25%",393,280,12.5,9.4,"28.5%",617,"28.1%","24.1%",0.39,0.26
"Kalista","ADC",8,"21.6%","51.4%","73.0%","63%","25%",36,15,30,4.4,"65.3%","17.4%","25%",407,53,7.1,10.1,"32.0%",409,"20.8%","27.7%",0.67,0.38
"Nidalee","Jungle",8,"21.6%","24.3%","45.9%","38%","88%",25,21,33,2.8,"71.6%","22.8%","25%",300,497,7,6.4,"21.2%",354,"18.7%","21.4%",0.89,0.46
"Twisted Fate","Middle",7,"18.9%","73.0%","91.9%","71%","0%",21,12,42,5.3,"65.6%","15.2%","29%",315,-73,0.6,9,"26.4%",396,"20.9%","25.2%",0.4,0.26
"Galio","Middle",6,"16.2%","29.7%","45.9%","50%","83%",17,19,29,2.4,"82.1%","25.3%","50%",-278,-52,-9.5,8.4,"25.3%",395,"22.5%","23.4%",0.4,0.21
"Sett","Jungle",6,"16.2%","51.4%","89.2%","67%","17%",14,9,43,6.3,"64.8%","20.5%","17%",-147,-238,-4.3,5.1,"13.5%",258,"12.6%","16.0%",0.4,0.54
"Sylas","Middle",6,"16.2%","18.9%","37.8%","33%","83%",26,20,23,2.5,"74.2%","20.0%","50%",-102,-5,3.2,8.2,"25.4%",400,"23.1%","26.0%",0.44,0.15
"Trundle","Jungle",6,"16.2%","5.4%","21.6%","33%","67%",5,17,33,2.2,"66.7%","16.7%","33%",-245,-234,-5,4.9,"12.1%",145,"8.9%","15.4%",0.34,0.48
"Wukong","Top",6,"16.2%","32.4%","54.1%","17%","50%",9,19,5,0.7,"40.0%","22.1%","33%",-463,-387,-14.3,7.7,"25.0%",320,"21.0%","22.9%",0.34,0.21
"Sejuani","Jungle",5,"13.5%","5.4%","18.9%","60%","100%",4,8,38,5.3,"77.8%","16.3%","20%",-84,-41,0.8,5.2,"13.2%",183,"11.0%","14.4%",0.67,0.59
"Xayah","ADC",5,"13.5%","0.0%","13.5%","40%","100%",10,11,22,2.9,"71.1%","21.2%","0%",-290,-214,-2.8,10.5,"33.3%",411,"26.5%","27.6%",0.51,0.37
"Corki","Middle",4,"10.8%","0.0%","10.8%","75%","100%",18,2,14,16,"61.5%","8.0%","25%",-334,-23,-13.5,9.6,"28.6%",602,"31.1%","26.8%",0.53,0.34
"LeBlanc","Middle",4,"10.8%","18.9%","29.7%","25%","50%",14,8,25,4.9,"84.8%","13.1%","0%",-167,-56,-5.5,8.1,"26.1%",622,"30.6%","24.0%",0.6,0.41
"Rakan","Support",4,"10.8%","2.7%","13.5%","50%","25%",2,8,23,3.1,"73.5%","16.7%","0%",-68,-28,1.5,1.4,"4.1%",104,"7.8%","8.8%",1.93,0.66
"Senna","ADC",4,"10.8%","29.7%","48.6%","50%","75%",3,6,26,4.8,"74.4%","16.2%","25%",-199,164,-22.3,6.4,"17.7%",346,"17.9%","18.9%",0.58,0.28
"Sett","Middle",4,"10.8%","51.4%","89.2%","50%","50%",7,7,24,4.4,"59.6%","16.3%","50%",-193,-106,-3.3,7.7,"23.2%",420,"21.4%","20.8%",0.32,0.28
