"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ekko","Middle",2,"4.4%","0.0%","6.7%","50%","100%",6,5,7,2.6,"52.0%","21.7%","50%",35,72,1.5,9.5,"26.6%",482,"24.5%","24.9%",0.36,0.16
"Lucian","ADC",2,"4.4%","11.1%","22.2%","100%","100%",8,3,13,7,"58.3%","23.1%","0%",370,198,12.5,10.4,"29.3%",636,"25.0%","24.2%",0.56,0.45
"Lucian","Top",2,"4.4%","11.1%","22.2%","50%","100%",5,2,3,4,"66.7%","14.3%","50%",430,373,18,10.7,"32.4%",461,"35.0%","30.3%",0.47,0.73
"Pantheon","Support",2,"4.4%","22.2%","28.9%","50%","50%",3,10,16,1.9,"67.9%","31.3%","0%",-319,-586,-29,1.5,"5.7%",377,"14.4%","9.5%",2.39,0.7
"Ryze","Top",2,"4.4%","0.0%","4.4%","0%","100%",3,6,4,1.2,"87.5%","14.3%","0%",-270,93,3,9.2,"33.9%",467,"27.1%","30.0%",0.42,0.05
"Shen","Support",2,"4.4%","0.0%","4.4%","50%","50%",0,4,21,5.3,"95.5%","14.3%","0%",48,202,-4,1.2,"3.0%",111,"6.2%","8.6%",2.34,0.48
"Yuumi","Support",2,"4.4%","0.0%","4.4%","100%","100%",3,0,30,33,"91.7%","0.0%","0%",202,77,-4,1,"2.1%",415,"16.1%","10.1%",1.36,0.11
"Zyra","Support",2,"4.4%","0.0%","4.4%","0%","50%",1,4,5,1.5,"75.0%","12.9%","0%",17,190,-8.5,0.9,"3.5%",365,"22.6%","8.8%",2.34,0.49
"Aatrox","Support",1,"2.2%","0.0%","11.1%","0%","100%",1,2,5,3,"75.0%","16.7%","0%",219,1046,43,7.7,"26.6%",311,"23.4%","21.2%",0.51,0.06
"Cho'Gath","Top",1,"2.2%","0.0%","2.2%","0%","100%",1,6,0,0.2,"33.3%","37.5%","0%",-628,-896,9,7.6,"23.8%",220,"18.0%","23.0%",0.34,0.31
"Ekko","Jungle",1,"2.2%","0.0%","6.7%","100%","100%",9,1,4,13,"61.9%","14.3%","0%",672,503,20,7.7,"20.2%",742,"26.6%","23.0%",0.66,0.46
"Fiddlesticks","Middle",1,"2.2%","0.0%","2.2%","0%","100%",0,3,4,1.3,"100.0%","18.8%","0%",56,553,5,6,"11.6%",287,"20.3%","17.5%",0.3,0.24
"Gnar","Top",1,"2.2%","6.7%","8.9%","100%","0%",2,1,7,9,"81.8%","50.0%","100%",729,510,23,10.8,"29.6%",605,"32.4%","29.1%",0.54,0.33
"Hecarim","Top",1,"2.2%","0.0%","2.2%","0%","100%",1,3,1,0.7,"40.0%","12.5%","0%",-658,-470,-13,8,"27.1%",300,"20.4%","22.1%",0.37,0.14
"Jarvan IV","Jungle",1,"2.2%","0.0%","2.2%","0%","0%",0,5,4,0.8,"57.1%","25.0%","0%",272,410,7,5.9,"17.3%",179,"8.1%","16.7%",0.37,0.59
"Jax","Jungle",1,"2.2%","6.7%","11.1%","0%","100%",1,2,4,2.5,"62.5%","12.5%","0%",-210,-270,-2,5.3,"16.3%",179,"12.0%","16.0%",0.61,0.31
"Jax","Support",1,"2.2%","6.7%","11.1%","0%","100%",1,1,0,1,"20.0%","9.1%","0%",1137,1818,57,7.7,"24.4%",224,"13.8%","20.9%",0.53,0.2
"Jayce","Support",1,"2.2%","33.3%","46.7%","0%","100%",2,3,3,1.7,"71.4%","15.0%","0%",1130,1898,74,7.8,"22.4%",566,"25.7%","23.3%",0.56,0.37
"Karma","Support",1,"2.2%","68.9%","95.6%","0%","0%",0,3,4,1.3,"50.0%","21.4%","0%",87,222,-1,1,"3.2%",127,"8.1%","7.9%",1.79,0.26
"Kayle","Support",1,"2.2%","0.0%","4.4%","100%","100%",1,2,11,6,"100.0%","25.0%","100%",472,418,7,1.6,"3.6%",125,"6.9%","9.6%",1.1,0.43
"Kayle","Top",1,"2.2%","0.0%","4.4%","0%","100%",1,5,2,0.6,"50.0%","21.7%","0%",-143,102,5,8.5,"27.8%",376,"23.5%","22.2%",0.59,0.19
"Kennen","Support",1,"2.2%","37.8%","71.1%","100%","100%",5,3,10,5,"75.0%","27.3%","100%",1940,2780,80,7.8,"23.7%",676,"30.7%","24.7%",0.59,0.2
"Kog'Maw","ADC",1,"2.2%","0.0%","2.2%","0%","100%",2,2,0,1,"100.0%","15.4%","0%",-241,-352,-5,9.7,"31.8%",447,"42.3%","27.9%",0.48,0.3
"Lissandra","Middle",1,"2.2%","0.0%","2.2%","100%","100%",2,2,7,4.5,"69.2%","40.0%","0%",-279,-759,-10,8.8,"24.5%",439,"25.5%","22.9%",0.5,0.18
"Lucian","Middle",1,"2.2%","11.1%","22.2%","0%","100%",1,2,2,1.5,"75.0%","10.5%","0%",-433,-311,6,10,"27.9%",379,"20.1%","26.0%",0.39,0.44
"Lulu","Middle",1,"2.2%","0.0%","2.2%","0%","100%",0,2,10,5,"83.3%","14.3%","100%",365,203,10,7.2,"20.1%",308,"15.8%","19.5%",0.66,0.4
"Malzahar","Middle",1,"2.2%","0.0%","2.2%","0%","100%",2,3,1,1,"75.0%","18.8%","0%",-236,-185,-8,7.6,"21.7%",373,"22.5%","25.0%",0.57,0.13
"Miss Fortune","ADC",1,"2.2%","0.0%","2.2%","100%","100%",7,2,6,6.5,"68.4%","25.0%","0%",597,417,18,10.9,"36.5%",775,"31.3%","31.5%",0.45,0.55
"Neeko","Middle",1,"2.2%","0.0%","4.4%","0%","100%",1,3,6,2.3,"70.0%","20.0%","0%",-666,-537,-10,7.9,"21.5%",383,"21.6%","20.1%",0.62,0.16
"Neeko","Top",1,"2.2%","0.0%","4.4%","100%","100%",1,2,7,4,"50.0%","25.0%","0%",305,254,4,7,"19.2%",294,"15.3%","16.5%",0.33,0.28
"Pantheon","Top",1,"2.2%","22.2%","28.9%","0%","0%",0,4,1,0.3,"100.0%","23.5%","0%",-124,819,18,7.3,"28.0%",327,"30.5%","24.1%",0.5,0.11
"Poppy","Jungle",1,"2.2%","0.0%","4.4%","100%","100%",0,0,8,8,"72.7%","0.0%","100%",-147,-229,-3,5.6,"15.4%",199,"10.6%","14.9%",1.3,0.73
"Poppy","Top",1,"2.2%","0.0%","4.4%","0%","100%",1,3,3,1.3,"57.1%","25.0%","0%",-6,-7,-3,7.4,"23.9%",466,"28.7%","21.8%",0.51,0.16
"Rakan","Support",1,"2.2%","0.0%","2.2%","0%","100%",0,3,5,1.7,"62.5%","18.8%","0%",-32,355,-2,1.2,"2.9%",109,"7.3%","8.6%",2.92,0.64
"Rumble","Top",1,"2.2%","0.0%","2.2%","0%","0%",2,3,3,1.7,"71.4%","15.0%","0%",-1382,-1699,-59,1.6,"4.7%",502,"22.8%","9.6%",1.18,0.29
"Sett","Jungle",1,"2.2%","75.6%","91.1%","0%","100%",0,5,1,0.2,"100.0%","29.4%","0%",-410,112,9,4.5,"10.6%",172,"16.0%","17.7%",0.46,0.25
"Sett","Middle",1,"2.2%","75.6%","91.1%","100%","0%",3,1,8,11,"52.4%","14.3%","0%",-184,138,-4,8.9,"24.4%",501,"18.0%","20.8%",0.33,0.66
"Sett","Top",1,"2.2%","75.6%","91.1%","0%","0%",4,1,2,6,"66.7%","10.0%","0%",-4,-200,-1,8.8,"25.4%",266,"21.2%","26.5%",0.32,0.23
"Shyvana","Jungle",1,"2.2%","0.0%","2.2%","0%","100%",0,2,4,2,"100.0%","10.5%","0%",228,234,6,6.3,"17.3%",662,"35.1%","18.5%",0.52,0.3
"Wukong","Jungle",1,"2.2%","28.9%","57.8%","0%","100%",0,3,2,0.7,"66.7%","15.8%","0%",-157,-532,-9,4.9,"13.9%",109,"6.2%","14.7%",0.4,0.53
"Elise","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Heimerdinger","-",0,"0%","4.4%","4.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Morgana","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunu & Willump","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
