"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aphelios","ADC",24,"53.3%","15.6%","68.9%","50%","46%",79,49,89,3.4,"64.1%","16.7%","21%",22,-9,-1.8,10.5,"35.6%",533,"29.3%","28.8%",0.41,0.43
"Ezreal","ADC",21,"46.7%","40.0%","86.7%","38%","29%",80,37,61,3.8,"66.5%","13.7%","10%",-136,-42,-3.8,10,"33.5%",613,"34.8%","28.7%",0.42,0.39
"Trundle","Jungle",19,"42.2%","24.4%","66.7%","32%","26%",25,46,111,3,"69.0%","17.8%","37%",-356,-449,-8.9,4.7,"12.7%",153,"8.9%","15.7%",0.46,0.63
"Zoe","Middle",17,"37.8%","11.1%","48.9%","71%","18%",50,30,103,5.1,"69.9%","17.8%","29%",133,35,1.6,8.4,"22.8%",598,"28.8%","22.4%",0.52,0.19
"Lee Sin","Jungle",16,"35.6%","17.8%","53.3%","81%","56%",44,30,127,5.7,"67.6%","19.4%","31%",84,-24,-2.1,5.7,"16.5%",282,"13.2%","17.7%",0.67,0.39
"Olaf","Jungle",15,"33.3%","13.3%","46.7%","53%","60%",30,31,71,3.3,"59.1%","20.7%","33%",154,335,5.9,5.6,"14.8%",244,"14.3%","17.4%",0.42,0.42
"Kalista","ADC",14,"31.1%","48.9%","80.0%","29%","43%",46,36,47,2.6,"62.4%","17.3%","21%",6,-121,3.9,10.4,"35.3%",381,"23.5%","28.1%",0.53,0.39
"Kennen","Top",14,"31.1%","37.8%","71.1%","50%","43%",47,48,66,2.4,"61.1%","25.5%","36%",103,25,1.2,8,"24.4%",516,"27.6%","23.2%",0.39,0.25
"Volibear","Jungle",14,"31.1%","55.6%","95.6%","57%","7%",25,33,82,3.2,"66.0%","22.4%","43%",-88,-136,-2.6,5.2,"13.2%",185,"10.4%","16.1%",0.39,0.48
"Leona","Support",13,"28.9%","20.0%","48.9%","38%","62%",6,48,65,1.5,"52.2%","25.4%","15%",-311,-159,-11.8,1.1,"2.6%",111,"6.1%","7.8%",1.52,0.36
"Nautilus","Support",13,"28.9%","8.9%","37.8%","62%","8%",7,36,96,2.9,"60.6%","24.2%","38%",-173,-392,-12.3,1,"2.0%",125,"6.9%","8.2%",1.56,0.27
"Tahm Kench","Support",12,"26.7%","22.2%","48.9%","42%","42%",1,35,60,1.7,"54.5%","23.8%","8%",-11,-43,0.8,1.1,"2.4%",96,"5.8%","7.6%",1.57,0.26
"Ashe","ADC",11,"24.4%","6.7%","31.1%","55%","82%",34,21,73,5.1,"79.3%","16.2%","27%",208,114,17.4,9.6,"30.5%",510,"25.8%","26.0%",0.38,0.34
"Camille","Top",10,"22.2%","13.3%","35.6%","60%","50%",39,26,40,3,"62.2%","24.3%","10%",292,559,18.2,8.8,"27.5%",429,"24.4%","25.5%",0.36,0.19
"LeBlanc","Middle",10,"22.2%","28.9%","51.1%","40%","60%",26,22,38,2.9,"64.6%","15.9%","30%",-138,-33,-3.4,8.2,"24.8%",506,"26.9%","23.4%",0.66,0.33
"Nidalee","Jungle",10,"22.2%","22.2%","44.4%","50%","70%",20,21,57,3.7,"70.0%","20.6%","30%",436,550,10.2,6.1,"16.0%",360,"20.0%","18.1%",0.97,0.64
"Orianna","Middle",10,"22.2%","8.9%","31.1%","30%","60%",24,22,42,3,"75.0%","19.1%","30%",-95,-45,1.7,9.2,"27.3%",454,"27.1%","24.9%",0.47,0.26
"Twisted Fate","Middle",10,"22.2%","71.1%","93.3%","70%","0%",29,14,67,6.9,"70.1%","14.1%","40%",390,31,-0.9,9,"25.4%",449,"24.6%","25.7%",0.38,0.17
"Thresh","Support",9,"20.0%","8.9%","28.9%","78%","67%",5,19,78,4.4,"65.4%","24.7%","56%",93,-171,0.6,1,"1.8%",76,"3.8%","8.2%",1.65,0.36
"Varus","ADC",9,"20.0%","46.7%","66.7%","67%","44%",39,15,47,5.7,"68.3%","21.7%","33%",169,208,11,10,"30.8%",656,"33.4%","26.7%",0.43,0.57
"Wukong","Top",9,"20.0%","28.9%","57.8%","78%","56%",37,25,53,3.6,"61.2%","29.1%","22%",182,186,2.2,8.1,"24.9%",416,"21.5%","23.3%",0.42,0.15
"Braum","Support",8,"17.8%","8.9%","26.7%","50%","75%",3,21,67,3.3,"73.7%","22.8%","38%",-187,-247,-9.8,0.9,"2.3%",160,"8.0%","8.3%",1.74,0.28
"Karma","Top",8,"17.8%","68.9%","95.6%","88%","13%",11,16,76,5.4,"75.0%","27.6%","13%",170,59,5.9,7.2,"17.6%",373,"17.6%","18.4%",0.49,0.14
"Sylas","Middle",8,"17.8%","13.3%","40.0%","50%","75%",31,14,46,5.5,"72.6%","15.9%","50%",-40,251,1,8.4,"24.2%",454,"24.5%","23.6%",0.39,0.29
"Azir","Middle",7,"15.6%","40.0%","55.6%","71%","29%",31,14,36,4.8,"65.7%","19.4%","29%",91,-83,4,10.1,"29.4%",563,"28.1%","25.8%",0.5,0.29
"Bard","Support",7,"15.6%","20.0%","35.6%","29%","43%",0,16,44,2.8,"75.9%","17.0%","0%",-191,141,2,1.4,"4.0%",126,"8.7%","8.4%",2.59,0.55
"Senna","ADC",7,"15.6%","26.7%","42.2%","86%","71%",16,9,78,10.4,"84.7%","18.0%","43%",-379,-116,-37.1,5.5,"16.0%",389,"20.4%","18.0%",0.99,0.44
"Galio","Middle",6,"13.3%","11.1%","24.4%","33%","50%",8,15,31,2.6,"67.2%","18.5%","0%",-239,-139,-8,8.2,"25.0%",267,"18.7%","22.3%",0.51,0.18
"Jayce","Top",5,"11.1%","33.3%","46.7%","60%","20%",21,12,31,4.3,"78.8%","26.1%","20%",-159,-168,2.2,8.8,"27.5%",680,"29.2%","25.0%",0.45,0.44
"Rek'Sai","Jungle",5,"11.1%","8.9%","20.0%","60%","100%",12,15,29,2.7,"60.3%","25.0%","60%",-225,-238,-2.8,5.4,"13.7%",223,"11.8%","17.0%",0.41,0.39
"Renekton","Top",5,"11.1%","17.8%","28.9%","60%","100%",14,10,18,3.2,"55.2%","22.7%","20%",448,142,5.2,7.8,"24.8%",343,"18.8%","22.9%",0.36,0.24
"Aatrox","Top",4,"8.9%","0.0%","11.1%","0%","50%",6,13,5,0.8,"68.8%","20.0%","25%",-504,-290,-9.5,8.1,"27.9%",387,"23.9%","24.4%",0.36,0.15
"Graves","Jungle",4,"8.9%","2.2%","11.1%","0%","75%",8,18,18,1.4,"72.2%","22.0%","25%",220,312,9.3,6.2,"17.4%",283,"16.1%","20.1%",0.42,0.64
"Maokai","Top",4,"8.9%","0.0%","8.9%","50%","50%",0,13,32,2.5,"61.5%","34.2%","50%",-977,-1823,-50.5,2.4,"6.6%",287,"16.8%","8.9%",1.06,0.33
"Ornn","Top",4,"8.9%","0.0%","8.9%","50%","50%",5,11,26,2.8,"57.4%","23.4%","50%",14,6,-5.3,7.1,"21.4%",347,"18.7%","19.4%",0.51,0.21
"Sett","Support",4,"8.9%","75.6%","91.1%","50%","25%",6,10,20,2.6,"54.2%","22.7%","25%",-8,-155,3.8,1.4,"3.4%",162,"11.4%","9.1%",1.52,0.44
"Sylas","Top",4,"8.9%","13.3%","40.0%","50%","100%",14,13,22,2.8,"70.6%","27.1%","0%",-380,-208,-13.5,7.8,"24.3%",451,"27.6%","23.2%",0.38,0.24
"Syndra","Middle",4,"8.9%","8.9%","17.8%","25%","100%",12,8,15,3.4,"58.7%","12.9%","0%",255,226,13.8,8.7,"25.4%",475,"28.1%","24.1%",0.42,0.23
"Volibear","Top",4,"8.9%","55.6%","95.6%","25%","0%",12,16,16,1.8,"59.6%","21.3%","25%",118,330,1.5,7.2,"21.6%",390,"19.2%","22.1%",0.47,0.14
"Akali","Middle",3,"6.7%","2.2%","8.9%","33%","100%",6,7,15,3,"56.8%","17.5%","0%",-136,-45,-3.7,9.3,"27.0%",375,"24.0%","23.1%",0.42,0.22
"Blitzcrank","Support",3,"6.7%","0.0%","6.7%","67%","100%",6,6,24,5,"71.4%","30.0%","67%",128,-63,-1,1,"1.9%",109,"6.1%","10.3%",1.75,0.38
"Corki","Middle",3,"6.7%","8.9%","15.6%","67%","100%",16,6,12,4.7,"77.8%","17.6%","0%",-264,42,3.3,10.2,"28.5%",616,"32.5%","29.5%",0.57,0.44
"Illaoi","Top",3,"6.7%","4.4%","11.1%","33%","0%",7,9,5,1.3,"52.2%","24.3%","0%",-23,150,-4.3,8.3,"23.0%",494,"30.9%","23.4%",0.39,0.13
"Karma","Middle",3,"6.7%","68.9%","95.6%","33%","33%",3,5,23,5.2,"83.9%","11.9%","0%",-411,-289,-11.7,7.9,"23.3%",299,"18.3%","21.2%",0.44,0.18
"Mordekaiser","Top",3,"6.7%","17.8%","24.4%","33%","100%",7,6,3,1.7,"40.0%","21.4%","0%",-76,63,-2,8.4,"25.3%",349,"21.2%","23.4%",0.59,0.18
"Taric","Support",3,"6.7%","22.2%","28.9%","33%","33%",0,5,28,5.6,"71.8%","16.7%","67%",-180,-30,-1.7,1.1,"2.5%",71,"3.9%","8.4%",1.34,0.29
"Wukong","Support",3,"6.7%","28.9%","57.8%","100%","0%",24,6,25,8.2,"77.8%","35.3%","0%",1253,934,63,7.5,"24.0%",489,"22.5%","24.1%",0.33,0.23
