"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Bdd","Gen.G","Middle",18,"67%","56%",71,30,104,5.8,"63.9%","25.9%","16.8%","17%",-85,-15,3.2,8.5,"22.6%",550,"26.9%","23.5%",0.42,0.23
"Ben","Afreeca Freecs","Support",13,"62%","54%",6,27,104,4.1,"58.8%","3.2%","19.6%","15%",88,23,-2.8,0.8,"2.4%",137,"7.0%","8.0%",1.64,0.29
"BeryL","DAMWON Gaming","Support",13,"92%","54%",19,20,105,6.2,"55.6%","8.5%","24.7%","15%",85,-32,3.8,1.6,"4.4%",212,"9.9%","10.0%",1.72,0.61
"Canna","T1","Top",13,"92%","62%",50,15,80,8.7,"61.0%","23.5%","18.8%","31%",77,-23,0.3,9.3,"28.4%",508,"25.7%","24.8%",0.36,0.16
"Canyon","DAMWON Gaming","Jungle",13,"92%","54%",59,20,101,8,"71.7%","26.5%","24.7%","54%",604,607,9.9,6.8,"18.5%",406,"19.7%","20.5%",0.6,0.34
"Chovy","DRX","Middle",17,"71%","53%",57,45,83,3.1,"57.6%","23.5%","22.6%","29%",173,163,6.8,9.7,"27.3%",510,"25.3%","25.1%",0.35,0.43
"Clid","Gen.G","Jungle",18,"67%","44%",52,36,135,5.2,"68.2%","19.0%","20.1%","28%",26,113,-1.3,5.5,"15.4%",294,"14.2%","17.4%",0.68,0.54
"Clozer","T1","Middle",10,"100%","20%",43,12,47,7.5,"50.3%","24.0%","19.4%","0%",189,302,0.7,8.9,"23.8%",495,"24.8%","22.1%",0.42,0.15
"Cuzz","T1","Jungle",13,"92%","38%",43,13,89,10.2,"62.0%","20.2%","16.3%","38%",174,238,8.7,6.2,"15.5%",314,"15.8%","18.2%",0.42,0.57
"Deft","DRX","ADC",17,"71%","65%",62,36,86,4.1,"60.9%","25.5%","18.1%","24%",-58,42,-2.5,9.1,"26.8%",527,"25.9%","23.8%",0.51,0.32
"Doran","DRX","Top",17,"71%","59%",66,47,76,3,"58.4%","27.2%","23.6%","29%",31,73,3.7,9.2,"26.4%",491,"24.8%","24.1%",0.45,0.22
"Effort","T1","Support",13,"92%","46%",14,21,114,6.1,"60.1%","6.6%","26.3%","31%",96,52,-0.8,1.3,"3.4%",135,"6.7%","9.4%",1.81,0.58
"Faker","T1","Middle",3,"67%","33%",4,6,11,2.5,"44.1%","11.8%","33.3%","0%",224,210,10.3,8.5,"19.9%",466,"24.4%","21.1%",0.48,0.22
"Fly","Afreeca Freecs","Middle",14,"57%","71%",40,23,88,5.6,"66.7%","20.8%","14.6%","29%",87,-82,-5.4,8.1,"22.1%",471,"24.4%","22.1%",0.46,0.22
"Ghost","DAMWON Gaming","ADC",13,"92%","62%",28,12,103,10.9,"58.7%","12.6%","14.8%","8%",-77,133,-6.8,8.8,"26.1%",369,"17.2%","20.4%",0.45,0.25
"Jelly","Afreeca Freecs","Support",1,"0%","100%",0,5,3,0.6,"60.0%","0.0%","26.3%","0%",-218,-152,-2,0.8,"1.7%",123,"7.6%","7.3%",1.3,0.16
"Keria","DRX","Support",17,"71%","29%",16,30,158,5.8,"71.6%","6.6%","15.1%","29%",117,7,3.5,1.5,"4.4%",193,"9.5%","9.8%",1.73,0.36
"Kiin","Afreeca Freecs","Top",14,"57%","50%",54,35,55,3.1,"56.8%","28.1%","22.3%","21%",285,254,4.9,8.6,"26.3%",456,"23.1%","24.5%",0.33,0.21
"Life","Gen.G","Support",18,"67%","56%",17,46,147,3.6,"59.9%","6.2%","25.7%","17%",50,-223,-3.4,0.9,"2.3%",162,"7.8%","8.4%",1.56,0.37
"Mystic","Afreeca Freecs","ADC",14,"57%","36%",52,34,69,3.6,"63.0%","27.1%","21.7%","14%",274,133,7,10,"33.1%",581,"29.6%","27.6%",0.37,0.47
"Nuguri","DAMWON Gaming","Top",13,"92%","46%",66,20,63,6.5,"57.8%","29.6%","24.7%","23%",446,418,13.3,9.6,"28.5%",614,"28.5%","26.2%",0.37,0.23
"Pyosik","DRX","Jungle",17,"71%","47%",42,41,130,4.2,"70.8%","17.3%","20.6%","47%",40,-27,0.6,6,"15.1%",306,"14.5%","17.2%",0.6,0.44
"Rascal","Gen.G","Top",18,"67%","50%",61,40,97,4,"57.7%","22.3%","22.3%","33%",216,131,3.4,8.8,"26.4%",436,"20.6%","23.5%",0.39,0.25
"Ruler","Gen.G","ADC",18,"67%","50%",73,27,99,6.4,"62.8%","26.6%","15.1%","17%",57,48,5.6,10.5,"33.2%",622,"30.5%","27.2%",0.52,0.42
"ShowMaker","DAMWON Gaming","Middle",13,"92%","62%",51,9,110,17.9,"72.2%","22.9%","11.1%","46%",372,163,3.8,8.8,"22.5%",539,"24.8%","22.9%",0.33,0.2
"Spirit","Afreeca Freecs","Jungle",14,"57%","50%",40,33,101,4.3,"73.4%","20.8%","21.0%","57%",135,86,-0.6,5.3,"16.2%",303,"15.9%","17.9%",0.63,0.64
"Teddy","T1","ADC",13,"92%","92%",59,13,96,11.9,"72.8%","27.7%","16.3%","31%",152,-28,0.8,10,"29.8%",551,"27.0%","25.8%",0.49,0.31
