"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Bdd","Gen.G","Middle",6,"50%","83%",22,15,23,3,"63.4%","31.0%","18.3%","0%",-354,2,3.2,8.9,"25.5%",492,"27.0%","25.1%",0.44,0.25
"Ben","Afreeca Freecs","Support",5,"80%","20%",1,10,54,5.5,"72.4%","1.3%","26.3%","40%",-292,-83,-12.8,0.8,"1.8%",178,"8.3%","8.3%",1.38,0.17
"BeryL","DAMWON Gaming","Support",4,"100%","75%",17,6,30,7.8,"59.5%","21.5%","18.2%","25%",399,51,19.5,3.6,"12.2%",342,"14.1%","14.8%",1.6,0.58
"Canna","T1","Top",6,"50%","67%",21,6,21,7,"60.0%","30.0%","11.5%","50%",194,52,-6,8.7,"24.8%",443,"25.4%","23.9%",0.47,0.16
"Canyon","DAMWON Gaming","Jungle",4,"100%","25%",11,5,41,10.4,"65.8%","13.9%","15.2%","25%",391,208,6.5,5.4,"12.8%",222,"8.8%","17.2%",0.65,0.41
"Chovy","DRX","Middle",6,"67%","50%",21,10,36,5.7,"75.0%","27.6%","18.9%","17%",226,216,1.7,10.1,"28.7%",477,"25.7%","27.0%",0.41,0.3
"Clid","Gen.G","Jungle",6,"50%","17%",8,14,36,3.1,"62.0%","11.3%","17.1%","0%",-612,-389,-4.2,5.2,"14.6%",269,"14.1%","16.3%",1.01,0.54
"Cuzz","T1","Jungle",6,"50%","33%",7,11,35,3.8,"60.0%","10.0%","21.2%","50%",57,109,0.3,5.5,"13.3%",252,"14.3%","15.5%",0.73,0.69
"Deft","DRX","ADC",6,"67%","33%",14,8,43,7.1,"75.0%","18.4%","15.1%","33%",106,156,4.3,10,"30.0%",555,"30.0%","24.8%",0.45,0.43
"Doran","DRX","Top",6,"67%","17%",11,13,33,3.4,"57.9%","14.5%","24.5%","0%",-88,-92,0,8.3,"23.0%",293,"15.7%","20.6%",0.45,0.23
"Effort","T1","Support",4,"50%","25%",3,9,24,3,"65.9%","7.3%","26.5%","50%",-2,-52,-0.5,1.3,"3.0%",145,"9.4%","8.5%",1.86,0.53
"Faker","T1","Middle",6,"50%","33%",13,10,36,4.9,"70.0%","18.6%","19.2%","33%",107,-4,0.2,9.5,"24.7%",447,"24.4%","24.7%",0.56,0.21
"Fly","Afreeca Freecs","Middle",5,"80%","80%",16,8,44,7.5,"78.9%","21.1%","21.1%","20%",9,-175,-7.8,7.5,"21.7%",382,"17.6%","21.3%",0.53,0.19
"Ghost","DAMWON Gaming","ADC",4,"100%","75%",14,10,29,4.3,"54.4%","17.7%","30.3%","25%",-355,53,-15,7.2,"19.8%",517,"20.4%","19.6%",0.66,0.15
"Kellin","Gen.G","Support",3,"67%","33%",5,5,27,6.4,"71.1%","11.1%","13.5%","67%",9,-631,-13.3,1,"2.0%",173,"7.5%","9.5%",2.16,0.26
"Keria","DRX","Support",6,"67%","50%",9,9,48,6.3,"75.0%","11.8%","17.0%","33%",91,196,-1.8,0.9,"2.0%",196,"10.5%","8.7%",1.75,0.29
"Kiin","Afreeca Freecs","Top",5,"80%","60%",18,9,30,5.3,"63.2%","23.7%","23.7%","20%",49,175,4.4,8,"24.7%",474,"21.9%","23.3%",0.48,0.21
"Kuri","T1","Support",2,"50%","100%",0,7,9,1.3,"31.0%","0.0%","38.9%","0%",-11,-285,-3,0.7,"1.1%",94,"5.0%","6.3%",2.04,0.15
"Life","Gen.G","Support",3,"33%","67%",1,11,14,1.4,"57.7%","3.8%","24.4%","0%",-179,-378,3,0.9,"2.1%",85,"5.3%","7.5%",1.7,0.3
"Mystic","Afreeca Freecs","ADC",5,"80%","40%",32,3,29,20.3,"80.3%","42.1%","7.9%","20%",379,39,14.8,10.4,"36.0%",831,"38.7%","30.1%",0.38,0.49
"Nuguri","DAMWON Gaming","Top",4,"100%","50%",17,10,25,4.2,"53.2%","21.5%","30.3%","0%",538,270,5.3,9.3,"31.5%",709,"28.1%","25.4%",0.44,0.14
"Pyosik","DRX","Jungle",6,"67%","100%",21,13,39,4.6,"78.9%","27.6%","24.5%","33%",479,512,9.5,6.4,"16.2%",336,"18.2%","18.9%",0.65,0.55
"Rascal","Gen.G","Top",6,"50%","67%",17,23,25,1.8,"59.2%","23.9%","28.0%","33%",258,389,5.8,7.8,"24.4%",401,"22.1%","22.3%",0.35,0.1
"Ruler","Gen.G","ADC",6,"50%","50%",18,14,26,3.1,"62.0%","25.4%","17.1%","33%",303,224,13.3,10.1,"33.5%",558,"30.5%","27.8%",0.44,0.47
"ShowMaker","DAMWON Gaming","Middle",4,"100%","25%",20,2,31,25.5,"64.6%","25.3%","6.1%","25%",243,105,6.8,8.2,"23.6%",698,"28.4%","22.9%",0.41,0.14
"Spirit","Afreeca Freecs","Jungle",5,"80%","60%",9,8,48,7.1,"75.0%","11.8%","21.1%","40%",-227,-338,-6,5.4,"15.8%",295,"13.5%","17.0%",0.83,0.65
"Teddy","T1","ADC",6,"50%","100%",26,9,20,5.1,"65.7%","37.1%","17.3%","17%",-25,-246,-3.7,11,"34.7%",525,"27.9%","28.1%",0.62,0.43
