"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Trundle","Jungle",26,"57.8%","35.6%","93.3%","35%","8%",32,60,146,3,"66.9%","19.0%","38%",-140,-255,-4,4.7,"12.4%",142,"8.1%","15.4%",0.48,0.55
"Ezreal","ADC",23,"51.1%","37.8%","88.9%","65%","52%",90,36,110,5.6,"68.0%","15.1%","17%",76,57,2.2,10.2,"32.4%",680,"33.7%","27.4%",0.41,0.31
"Aphelios","ADC",22,"48.9%","31.1%","80.0%","45%","32%",64,53,72,2.6,"62.4%","19.0%","14%",-162,-245,-5.5,9.9,"33.8%",471,"27.9%","27.1%",0.38,0.44
"Lee Sin","Jungle",17,"37.8%","15.6%","53.3%","47%","82%",50,49,82,2.7,"69.5%","24.4%","35%",79,-63,-2.4,5.2,"13.9%",233,"12.2%","17.8%",0.62,0.31
"Nautilus","Support",13,"28.9%","24.4%","53.3%","46%","46%",4,34,104,3.2,"62.1%","23.9%","23%",61,-96,0.6,1,"2.5%",147,"7.6%","7.8%",1.56,0.31
"Azir","Middle",12,"26.7%","33.3%","60.0%","75%","25%",41,18,55,5.3,"58.9%","16.4%","0%",63,152,8.3,9.6,"26.4%",515,"27.5%","25.2%",0.53,0.36
"Kalista","ADC",12,"26.7%","60.0%","86.7%","67%","25%",56,16,55,6.9,"76.0%","16.2%","25%",398,328,25.1,10.9,"36.0%",520,"29.2%","29.6%",0.66,0.54
"Olaf","Jungle",12,"26.7%","8.9%","35.6%","75%","33%",26,21,75,4.8,"63.5%","19.4%","8%",-73,88,3.8,5.4,"14.1%",242,"12.6%","16.4%",0.42,0.48
"Kennen","Top",11,"24.4%","15.6%","40.0%","64%","18%",30,29,55,2.9,"65.4%","26.6%","9%",159,47,6.5,8.5,"24.6%",446,"26.8%","22.8%",0.4,0.25
"Ornn","Top",11,"24.4%","20.0%","44.4%","45%","36%",15,22,53,3.1,"57.1%","19.1%","36%",-258,-69,-9,7.8,"24.2%",361,"22.7%","20.5%",0.46,0.15
"Mordekaiser","Top",10,"22.2%","17.8%","40.0%","20%","60%",29,33,21,1.5,"54.9%","19.8%","30%",-234,-95,-3.1,8,"24.6%",426,"23.7%","23.8%",0.43,0.17
"Tahm Kench","Support",10,"22.2%","4.4%","26.7%","60%","40%",3,26,70,2.8,"55.3%","23.4%","0%",-66,18,-6.4,1,"1.7%",133,"6.7%","8.1%",1.66,0.26
"Twisted Fate","Middle",10,"22.2%","51.1%","73.3%","60%","10%",21,14,66,6.2,"69.0%","15.1%","40%",372,125,-0.2,9,"25.6%",395,"21.2%","25.4%",0.44,0.15
