"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Zoe","Middle",10,"22.2%","31.1%","53.3%","40%","60%",30,16,49,4.9,"69.3%","14.3%","30%",-73,-178,-6.4,8.1,"24.0%",500,"27.4%","23.8%",0.53,0.18
"Bard","Support",9,"20.0%","13.3%","33.3%","56%","11%",10,19,57,3.5,"67.0%","19.0%","11%",-115,-92,1.2,1.5,"4.2%",157,"9.1%","9.6%",2.54,0.63
"Aatrox","Top",8,"17.8%","13.3%","31.1%","25%","25%",11,18,22,1.8,"66.0%","20.5%","0%",-12,101,3,8.1,"24.8%",341,"21.8%","22.9%",0.43,0.18
"Ashe","ADC",8,"17.8%","4.4%","22.2%","50%","75%",22,18,41,3.5,"70.8%","20.7%","13%",165,78,15.3,10.2,"33.4%",520,"30.0%","27.4%",0.43,0.56
"Braum","Support",8,"17.8%","4.4%","22.2%","38%","63%",2,23,62,2.8,"80.0%","20.7%","38%",-21,39,-0.4,1,"2.4%",107,"6.4%","8.5%",1.63,0.32
"Corki","Middle",8,"17.8%","6.7%","24.4%","38%","63%",23,9,28,5.7,"75.0%","10.5%","13%",31,27,0.1,10.2,"30.4%",616,"33.9%","28.1%",0.51,0.28
"Jayce","Top",8,"17.8%","26.7%","46.7%","50%","75%",24,16,42,4.1,"64.7%","18.0%","38%",239,115,4,8.9,"27.1%",660,"33.1%","24.9%",0.48,0.39
"Syndra","Middle",8,"17.8%","37.8%","57.8%","50%","25%",19,14,38,4.1,"67.9%","13.6%","0%",111,194,5.9,8.4,"24.4%",473,"27.9%","23.7%",0.56,0.21
"Nidalee","Jungle",7,"15.6%","8.9%","24.4%","86%","86%",22,9,54,8.4,"83.5%","18.8%","57%",503,653,9.4,6.8,"19.9%",437,"21.0%","20.2%",1.16,0.56
"Renekton","Top",7,"15.6%","4.4%","20.0%","43%","43%",12,21,15,1.3,"38.6%","25.0%","43%",-105,-128,-1.6,8.2,"24.5%",262,"15.2%","22.6%",0.47,0.17
"Thresh","Support",7,"15.6%","4.4%","20.0%","43%","57%",4,19,37,2.2,"69.5%","20.9%","57%",-1,-33,0.9,1.1,"2.1%",88,"5.4%","7.7%",1.66,0.37
"Karma","Middle",6,"13.3%","75.6%","95.6%","17%","17%",3,10,22,2.5,"59.5%","13.2%","0%",-267,-265,-6.5,7.9,"20.9%",318,"20.4%","20.5%",0.53,0.3
"Senna","ADC",6,"13.3%","15.6%","33.3%","67%","83%",5,11,52,5.2,"75.0%","25.0%","17%",-558,-294,-58.8,2.8,"9.8%",341,"17.4%","12.7%",1.19,0.49
"Varus","ADC",6,"13.3%","84.4%","97.8%","33%","0%",15,17,24,2.3,"78.0%","21.3%","33%",-87,-141,-2.2,9.4,"31.1%",656,"36.3%","26.4%",0.41,0.5
"Volibear","Jungle",6,"13.3%","15.6%","35.6%","67%","17%",15,9,31,5.1,"63.0%","20.9%","33%",415,380,6.5,5.3,"13.0%",224,"12.4%","16.5%",0.44,0.57
"Wukong","Top",6,"13.3%","26.7%","44.4%","83%","50%",18,20,27,2.3,"57.0%","32.3%","17%",-72,16,-3.2,8.1,"25.4%",399,"21.3%","22.3%",0.42,0.16
"Galio","Middle",5,"11.1%","6.7%","24.4%","20%","40%",8,18,20,1.6,"73.7%","19.4%","0%",-552,-330,-12.8,7.4,"21.9%",423,"22.9%","21.7%",0.46,0.08
"Jarvan IV","Jungle",5,"11.1%","2.2%","13.3%","40%","80%",7,16,26,2.1,"86.8%","21.3%","40%",-489,-523,-10.8,4.9,"13.1%",175,"10.2%","16.6%",0.76,0.47
"Kai'Sa","ADC",5,"11.1%","2.2%","13.3%","0%","100%",22,10,7,2.9,"74.4%","14.1%","40%",-34,320,-0.2,10.5,"39.1%",537,"32.6%","34.1%",0.46,0.27
"LeBlanc","Middle",5,"11.1%","24.4%","35.6%","60%","60%",18,7,25,6.1,"64.2%","17.1%","40%",240,66,-2.8,8.2,"23.2%",489,"25.1%","23.4%",0.4,0.43
"Orianna","Middle",5,"11.1%","2.2%","13.3%","80%","80%",18,5,24,8.4,"79.2%","16.1%","20%",-113,58,4.2,8.6,"22.4%",429,"26.3%","23.9%",0.59,0.28
"Rek'Sai","Jungle",5,"11.1%","6.7%","17.8%","40%","80%",10,14,16,1.9,"49.1%","22.2%","40%",-152,60,2,5.3,"14.6%",210,"12.2%","16.9%",0.37,0.41
"Taric","Support",5,"11.1%","4.4%","15.6%","60%","60%",1,11,31,2.9,"78.0%","20.0%","0%",-602,-193,-20.6,1,"2.6%",83,"5.0%","8.3%",1.36,0.21
"Yuumi","Support",5,"11.1%","51.1%","62.2%","40%","20%",4,6,27,5.2,"79.5%","9.2%","0%",-413,-146,-13.8,0.7,"1.2%",309,"18.2%","8.7%",1.31,0.07
"Camille","Top",4,"8.9%","2.2%","11.1%","75%","100%",12,12,21,2.8,"50.8%","28.6%","0%",-307,-327,-11.8,8.6,"25.6%",452,"20.7%","21.7%",0.39,0.11
"Graves","Jungle",4,"8.9%","0.0%","8.9%","25%","100%",3,9,10,1.4,"56.5%","17.3%","25%",11,98,5.3,6.6,"18.5%",313,"17.6%","19.8%",0.61,0.66
"Miss Fortune","ADC",4,"8.9%","0.0%","8.9%","50%","75%",16,9,20,4,"69.2%","20.9%","25%",227,235,16.3,10.8,"38.1%",562,"33.5%","30.1%",0.43,0.25
"Rakan","Support",4,"8.9%","0.0%","8.9%","25%","100%",2,9,18,2.2,"83.3%","19.6%","50%",187,57,1.3,1.3,"3.5%",98,"7.7%","8.6%",2,0.57
"Sett","Support",4,"8.9%","60.0%","84.4%","75%","0%",5,5,21,5.2,"52.0%","17.9%","50%",351,127,14,2.8,"6.7%",165,"9.1%","10.6%",1.16,0.5
"Sett","Top",4,"8.9%","60.0%","84.4%","75%","25%",9,9,21,3.3,"43.5%","27.3%","50%",413,121,10,7.9,"21.3%",420,"19.2%","21.1%",0.47,0.17
"Sylas","Middle",4,"8.9%","6.7%","24.4%","50%","100%",9,8,17,3.3,"72.2%","15.1%","25%",-242,-266,-7,8,"22.9%",293,"17.7%","23.3%",0.4,0.18
"Sylas","Top",4,"8.9%","6.7%","24.4%","50%","100%",7,11,5,1.1,"48.0%","25.6%","0%",-364,-48,-12.8,8.2,"24.4%",385,"25.0%","21.8%",0.47,0.15
"Blitzcrank","Support",3,"6.7%","0.0%","6.7%","67%","100%",2,10,24,2.6,"52.0%","37.0%","0%",121,-3,2.3,1,"2.4%",169,"8.8%","8.6%",1.48,0.27
"Galio","Support",3,"6.7%","6.7%","24.4%","67%","33%",1,7,25,3.7,"78.8%","24.1%","0%",-540,-350,-1.7,1.4,"3.8%",176,"10.4%","9.0%",1.58,0.27
"Lucian","Middle",3,"6.7%","4.4%","17.8%","33%","100%",10,8,8,2.3,"60.0%","23.5%","33%",188,-98,7.3,10,"31.3%",547,"28.7%","27.0%",0.6,0.48
"Lucian","Top",3,"6.7%","4.4%","17.8%","33%","67%",7,11,12,1.7,"50.0%","23.9%","67%",159,-116,4.7,9,"29.3%",459,"25.7%","24.2%",0.41,0.56
"Pantheon","Support",3,"6.7%","17.8%","24.4%","33%","67%",11,7,8,2.7,"63.3%","21.9%","67%",979,309,20.7,3.4,"10.4%",269,"14.7%","15.8%",1.37,0.38
"Volibear","Top",3,"6.7%","15.6%","35.6%","33%","67%",3,10,11,1.4,"70.0%","38.5%","0%",229,-27,1,7,"20.6%",362,"24.0%","20.8%",0.39,0.11
"Ekko","Middle",2,"4.4%","0.0%","4.4%","50%","100%",6,2,6,6,"66.7%","22.2%","50%",1,-351,-12,10,"25.7%",379,"21.4%","24.8%",0.43,0.31
"Gragas","Jungle",2,"4.4%","2.2%","11.1%","0%","100%",6,8,9,1.9,"83.3%","21.1%","50%",-168,139,1.5,4.8,"13.0%",298,"19.8%","17.2%",1.28,0.78
"Karma","Top",2,"4.4%","75.6%","95.6%","100%","0%",5,3,25,10,"76.9%","27.3%","50%",541,421,13.5,8.1,"21.3%",432,"15.4%","20.4%",0.53,0.23
"Kayle","Top",2,"4.4%","6.7%","11.1%","50%","100%",5,4,8,3.3,"76.5%","26.7%","0%",356,138,7,10.1,"34.0%",591,"34.3%","29.6%",0.46,0.32
"Kindred","Jungle",2,"4.4%","0.0%","4.4%","50%","100%",1,5,12,2.6,"56.5%","26.3%","50%",-240,-369,-10.5,6,"19.3%",215,"12.0%","17.0%",0.64,0.54
"Leona","Support",2,"4.4%","2.2%","6.7%","50%","100%",0,7,10,1.4,"62.5%","36.8%","0%",4,-122,3,1.3,"2.5%",91,"5.8%","7.3%",1.76,0.47
"Lissandra","Middle",2,"4.4%","2.2%","6.7%","0%","100%",1,5,7,1.6,"72.7%","13.9%","50%",-528,234,7.5,7.7,"25.0%",394,"28.5%","24.4%",0.51,0.14
"Lulu","Support",2,"4.4%","4.4%","11.1%","0%","100%",1,5,5,1.2,"75.0%","15.6%","0%",70,340,1,1.3,"3.7%",68,"5.6%","9.4%",1.55,0.34
"Senna","Support",2,"4.4%","15.6%","33.3%","0%","0%",0,7,8,1.1,"53.3%","25.9%","0%",-124,68,-10.5,0.9,"3.4%",188,"8.8%","8.3%",1.15,0.38
"Sett","Jungle",2,"4.4%","60.0%","84.4%","100%","0%",4,3,25,9.7,"72.5%","21.4%","100%",229,393,5.5,5.8,"12.7%",310,"15.8%","15.2%",0.45,0.87
"Urgot","Top",2,"4.4%","4.4%","8.9%","100%","0%",7,3,11,6,"64.3%","60.0%","50%",419,77,8.5,8.8,"24.0%",367,"19.3%","22.8%",0.5,0.36
"Wukong","Support",2,"4.4%","26.7%","44.4%","50%","50%",2,5,8,2,"50.0%","33.3%","0%",812,680,49,6.5,"18.2%",234,"12.8%","16.4%",0.44,0.2
"Zilean","Support",2,"4.4%","2.2%","6.7%","50%","100%",0,1,16,16,"80.0%","5.0%","50%",196,480,4,1.1,"2.7%",91,"4.5%","8.3%",1.73,0.39
"Alistar","Support",1,"2.2%","2.2%","4.4%","100%","100%",0,1,18,18,"85.7%","100.0%","100%",-7,17,2,1,"1.9%",177,"8.6%","9.1%",1.5,0.2
"Fiddlesticks","Jungle",1,"2.2%","2.2%","4.4%","100%","100%",2,1,9,11,"84.6%","20.0%","0%",677,1165,21,6.8,"17.3%",335,"16.2%","18.4%",0.3,0.04
"Gangplank","Top",1,"2.2%","0.0%","2.2%","0%","100%",0,3,1,0.3,"33.3%","23.1%","0%",246,545,7,10.4,"33.2%",524,"32.4%","31.1%",0.48,0.2
"Gnar","Top",1,"2.2%","2.2%","4.4%","100%","100%",6,0,6,12,"70.6%","0.0%","100%",1209,262,21,9.6,"29.1%",594,"29.3%","26.8%",0.53,0.07
"Gragas","Middle",1,"2.2%","2.2%","11.1%","100%","100%",4,4,9,3.3,"92.9%","22.2%","0%",421,636,22,7.6,"21.9%",538,"23.4%","23.2%",0.4,0.23
"Gragas","Support",1,"2.2%","2.2%","11.1%","100%","100%",1,0,8,9,"69.2%","0.0%","100%",-361,-200,-46,0.8,"1.6%",210,"11.7%","8.9%",1.36,0.17
"Heimerdinger","ADC",1,"2.2%","6.7%","8.9%","0%","100%",2,3,6,2.7,"61.5%","17.6%","0%",-15,-309,-6,8,"26.5%",816,"35.1%","24.0%",0.38,0.23
"Illaoi","Top",1,"2.2%","11.1%","13.3%","0%","0%",0,6,0,0,"0.0%","35.3%","0%",-1209,-262,-21,7.5,"22.9%",401,"29.2%","20.9%",0.4,0.1
"Irelia","Middle",1,"2.2%","0.0%","4.4%","0%","100%",2,3,4,2,"75.0%","21.4%","100%",370,-82,-5,9.3,"26.2%",216,"17.6%","25.0%",0.46,0.32
"Irelia","Top",1,"2.2%","0.0%","4.4%","100%","100%",5,3,3,2.7,"53.3%","37.5%","0%",-292,-234,9,9.5,"31.7%",415,"21.6%","27.1%",0.38,0.3
"Jayce","Middle",1,"2.2%","26.7%","46.7%","100%","0%",5,1,5,10,"76.9%","20.0%","0%",293,636,12,10.1,"27.0%",625,"30.3%","24.6%",0.52,0.22
"Karma","Support",1,"2.2%","75.6%","95.6%","100%","0%",1,0,9,10,"62.5%","0.0%","100%",374,190,-5,0.9,"1.4%",204,"9.2%","9.0%",1.81,0.22
"Kassadin","Middle",1,"2.2%","2.2%","4.4%","100%","100%",14,1,5,19,"82.6%","20.0%","0%",677,1028,16,8.9,"31.2%",891,"38.9%","29.9%",0.23,0
"Lulu","Middle",1,"2.2%","4.4%","11.1%","0%","100%",0,3,1,0.3,"20.0%","23.1%","0%",-293,-636,-12,8,"22.1%",165,"12.6%","21.2%",0.52,0.09
"Maokai","ADC",1,"2.2%","2.2%","6.7%","0%","100%",0,4,1,0.3,"50.0%","40.0%","0%",-1170,-221,-31,6,"20.7%",363,"18.7%","16.7%",0.53,0.16
"Maokai","Support",1,"2.2%","2.2%","6.7%","100%","100%",2,1,15,17,"73.9%","20.0%","0%",1202,481,40,6.2,"20.4%",377,"16.5%","19.2%",0.6,0.09
"Morgana","Middle",1,"2.2%","0.0%","2.2%","100%","100%",5,1,10,15,"88.2%","25.0%","0%",46,383,13,7.8,"17.7%",679,"26.6%","21.3%",0.61,0.23
"Neeko","Middle",1,"2.2%","0.0%","4.4%","0%","0%",1,2,5,3,"60.0%","18.2%","0%",-50,-338,3,8.2,"21.4%",470,"24.2%","23.8%",0.76,0.2
"Neeko","Top",1,"2.2%","0.0%","4.4%","0%","100%",1,5,5,1.2,"60.0%","27.8%","100%",63,135,-1,7.2,"20.8%",356,"25.8%","19.9%",0.68,0.21
"Pyke","Support",1,"2.2%","2.2%","4.4%","100%","100%",5,3,8,4.3,"76.5%","23.1%","0%",-265,-609,9,1.3,"3.4%",194,"9.5%","16.2%",1.7,0.56
"Sett","Middle",1,"2.2%","60.0%","84.4%","100%","0%",0,0,4,4,"23.5%","0.0%","0%",-265,250,0,8.1,"20.5%",276,"13.5%","16.6%",0.29,0.62
"Shen","Support",1,"2.2%","0.0%","2.2%","0%","0%",1,4,3,1,"50.0%","21.1%","0%",-541,150,-4,1.6,"7.3%",123,"8.3%","10.4%",2.05,0.44
"Syndra","ADC",1,"2.2%","37.8%","57.8%","0%","100%",2,3,3,1.7,"62.5%","21.4%","0%",-63,141,-2,10.4,"30.9%",241,"19.7%","26.4%",0.98,0.61
"Taliyah","Jungle",1,"2.2%","0.0%","4.4%","0%","100%",0,3,0,0,"0.0%","27.3%","0%",18,227,3,4.9,"12.3%",211,"18.5%","15.2%",0.34,0.34
"Taliyah","Middle",1,"2.2%","0.0%","4.4%","100%","100%",8,0,7,15,"78.9%","0.0%","0%",-124,-241,-1,8.3,"22.8%",459,"27.4%","23.9%",0.67,0.11
"Viktor","Middle",1,"2.2%","0.0%","2.2%","0%","100%",3,7,4,1,"53.8%","25.0%","0%",-768,-481,-19,7.7,"26.6%",481,"23.8%","23.4%",0.41,0.13
"Xayah","ADC",1,"2.2%","0.0%","2.2%","0%","100%",0,1,2,2,"100.0%","9.1%","100%",92,-31,-10,11,"41.0%",236,"20.7%","31.2%",0.44,0.34
"Aurelion Sol","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Elise","-",0,"0%","4.4%","4.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Poppy","-",0,"0%","6.7%","6.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Qiyana","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Quinn","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rumble","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Yasuo","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
