"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Irelia","Top",4,"10.3%","15.4%","28.2%","50%","100%",13,9,12,2.8,"55.6%","19.6%","50%",533,289,11.8,9.1,"26.1%",338,"18.8%","24.2%",0.33,0.29
"Pantheon","Support",4,"10.3%","23.1%","38.5%","50%","75%",7,17,17,1.4,"42.9%","28.3%","0%",-1,21,1.8,1.5,"5.0%",257,"13.9%","9.0%",2.02,0.62
"Thresh","Support",4,"10.3%","2.6%","12.8%","0%","75%",0,14,18,1.3,"64.3%","20.6%","50%",39,-155,-1.5,1.1,"3.0%",101,"6.8%","7.7%",1.42,0.41
"Wukong","Top",4,"10.3%","25.6%","35.9%","50%","100%",17,8,17,4.3,"68.0%","17.0%","50%",-129,-395,-17.5,8.6,"26.3%",403,"22.3%","25.7%",0.33,0.28
"Akali","Middle",3,"7.7%","12.8%","35.9%","67%","100%",18,9,19,4.1,"56.1%","23.1%","0%",-475,-197,-11,7.6,"22.6%",593,"24.2%","22.8%",0.4,0.16
"Camille","Top",3,"7.7%","35.9%","43.6%","100%","33%",17,4,15,8,"58.2%","30.8%","100%",567,296,4,8.7,"25.9%",548,"25.8%","24.3%",0.28,0.14
"Galio","Middle",3,"7.7%","20.5%","28.2%","0%","67%",3,10,14,1.7,"65.4%","18.2%","33%",-902,-82,-7,7.9,"22.1%",249,"18.2%","21.1%",0.46,0.12
"Jarvan IV","Jungle",3,"7.7%","2.6%","10.3%","33%","67%",5,17,29,2,"81.0%","30.4%","33%",-16,-172,-1.3,4.8,"14.0%",152,"7.5%","15.1%",0.4,0.69
"Kalista","ADC",3,"7.7%","38.5%","46.2%","33%","33%",4,4,17,5.3,"77.8%","12.9%","0%",402,482,15.7,10.5,"34.6%",352,"25.7%","27.1%",0.57,0.47
"Karma","Middle",3,"7.7%","53.8%","92.3%","67%","100%",8,3,21,9.7,"80.6%","8.6%","33%",74,163,6,8.4,"24.8%",321,"18.8%","24.0%",0.54,0.3
"Karma","Top",3,"7.7%","53.8%","92.3%","0%","0%",2,12,12,1.2,"51.9%","21.1%","0%",-502,-254,-6.7,6.7,"18.3%",300,"20.4%","18.2%",0.5,0.21
"Leona","Support",3,"7.7%","7.7%","15.4%","100%","67%",3,8,30,4.1,"52.4%","28.6%","33%",15,-14,-1.3,1.3,"3.4%",112,"5.8%","8.6%",1.38,0.51
"Lulu","Support",3,"7.7%","0.0%","7.7%","33%","100%",1,7,16,2.4,"58.6%","14.6%","0%",-122,-51,-4.7,0.6,"1.7%",120,"6.2%","7.9%",1.34,0.3
"Orianna","Middle",3,"7.7%","5.1%","12.8%","0%","67%",4,6,7,1.8,"91.7%","12.8%","0%",-105,-21,2.7,9.8,"28.7%",479,"33.8%","28.1%",0.45,0.28
"Sett","Middle",3,"7.7%","66.7%","100.0%","67%","0%",8,5,18,5.2,"70.3%","13.2%","33%",347,81,-7.7,8.6,"23.0%",372,"20.0%","22.4%",0.4,0.28
"Blitzcrank","Support",2,"5.1%","0.0%","5.1%","0%","100%",1,10,14,1.5,"60.0%","27.0%","0%",-22,-336,2,1.2,"3.3%",151,"8.8%","7.9%",1.56,0.43
"Ekko","Middle",2,"5.1%","2.6%","10.3%","50%","100%",3,0,6,9,"56.3%","0.0%","0%",-55,-72,-7,10,"27.7%",295,"21.1%","25.2%",0.37,0.2
"Fiora","Top",2,"5.1%","0.0%","5.1%","0%","100%",2,11,4,0.5,"85.7%","31.4%","0%",-686,-363,-13,7.2,"23.1%",379,"27.6%","22.9%",0.33,0.19
"Gragas","Support",2,"5.1%","0.0%","5.1%","0%","50%",3,6,6,1.5,"45.0%","24.0%","0%",300,-205,-2,1,"2.4%",156,"8.9%","8.6%",1.51,0.32
"Janna","Support",2,"5.1%","2.6%","7.7%","0%","100%",3,10,17,2,"83.3%","22.7%","0%",45,227,-7,0.4,"1.6%",157,"7.9%","9.2%",1.67,0.3
"Karthus","Jungle",2,"5.1%","5.1%","10.3%","50%","0%",14,8,14,3.5,"93.3%","33.3%","0%",391,417,7.5,6.8,"21.1%",579,"32.2%","23.4%",0.73,0.42
"Kha'Zix","Jungle",2,"5.1%","0.0%","5.1%","50%","100%",4,3,12,5.3,"64.0%","20.0%","50%",433,420,-1.5,6,"17.1%",346,"18.6%","17.2%",0.86,0.39
"LeBlanc","Middle",2,"5.1%","5.1%","10.3%","0%","50%",3,2,3,3,"85.7%","7.1%","0%",-73,-295,-6,8.3,"26.6%",443,"28.3%","24.4%",0.55,0.47
"Mordekaiser","Top",2,"5.1%","12.8%","17.9%","50%","0%",6,7,8,2,"45.2%","22.6%","0%",74,-6,5.5,8.1,"23.2%",452,"19.4%","20.5%",0.38,0.14
"Ornn","Top",2,"5.1%","5.1%","10.3%","50%","50%",2,7,12,2,"60.9%","25.0%","50%",-671,-38,-3.5,7.1,"19.7%",382,"19.2%","19.1%",0.6,0.26
"Pantheon","Middle",2,"5.1%","23.1%","38.5%","0%","50%",5,7,18,3.3,"76.7%","21.2%","0%",-316,-640,-8,7.3,"21.7%",320,"16.0%","22.0%",0.38,0.13
"Quinn","Top",2,"5.1%","2.6%","7.7%","50%","100%",5,8,4,1.1,"42.9%","23.5%","50%",208,-97,4,9.7,"30.3%",408,"22.2%","26.8%",0.39,0.18
"Sejuani","Jungle",2,"5.1%","7.7%","15.4%","0%","50%",1,7,5,0.9,"75.0%","22.6%","0%",-321,-308,-2.5,5.2,"14.9%",226,"14.7%","16.0%",0.43,0.52
"Sylas","Top",2,"5.1%","12.8%","43.6%","0%","100%",4,9,12,1.8,"64.0%","21.4%","0%",-350,-438,-13,7.1,"22.3%",531,"27.5%","21.8%",0.22,0.16
"Tahm Kench","Support",2,"5.1%","2.6%","7.7%","50%","0%",1,7,14,2.1,"71.4%","24.1%","50%",-84,-54,-2,1,"2.1%",137,"7.8%","8.7%",1.49,0.23
"Aphelios","ADC",1,"2.6%","5.1%","7.7%","0%","100%",0,4,8,2,"57.1%","20.0%","0%",-119,-97,-8,9.5,"33.0%",332,"18.6%","24.6%",0.38,0.64
"Ekko","Jungle",1,"2.6%","2.6%","10.3%","0%","100%",4,4,1,1.3,"62.5%","19.0%","0%",82,-254,-4,6.7,"22.2%",491,"26.6%","23.0%",0.99,0.43
"Illaoi","Top",1,"2.6%","10.3%","12.8%","0%","0%",0,4,0,0,"0.0%","25.0%","0%",-640,-474,-19,7.7,"26.8%",274,"20.0%","21.1%",0.34,0.08
"Irelia","Middle",1,"2.6%","15.4%","28.2%","100%","100%",7,1,6,13,"48.1%","10.0%","0%",330,411,15,12.6,"40.6%",793,"28.5%","29.9%",0.5,0.37
"Jayce","Middle",1,"2.6%","43.6%","74.4%","100%","100%",1,1,6,7,"35.0%","20.0%","0%",302,160,12,9.8,"28.3%",787,"28.0%","20.4%",0.35,0.39
"Jinx","ADC",1,"2.6%","0.0%","2.6%","100%","100%",0,1,6,6,"46.2%","14.3%","0%",-217,-25,5,11.1,"32.6%",430,"24.1%","25.2%",0.48,0.35
"Kindred","Jungle",1,"2.6%","0.0%","2.6%","0%","100%",1,4,2,0.8,"100.0%","33.3%","0%",-470,-490,-5,6.2,"15.9%",269,"14.5%","17.4%",0.32,0.55
"Lucian","ADC",1,"2.6%","33.3%","53.8%","0%","0%",4,1,0,4,"66.7%","5.9%","0%",1,-398,-4,10,"36.5%",302,"20.0%","34.1%",0.42,0.34
"Lucian","Middle",1,"2.6%","33.3%","53.8%","100%","100%",2,4,7,2.3,"64.3%","40.0%","0%",843,273,26,10.4,"25.7%",690,"29.4%","23.5%",0.6,0.72
"Lux","Middle",1,"2.6%","5.1%","33.3%","0%","100%",0,3,3,1,"60.0%","17.6%","0%",75,142,4,8,"21.8%",540,"33.9%","19.9%",0.37,0.29
"Nocturne","Jungle",1,"2.6%","0.0%","2.6%","0%","100%",0,5,3,0.6,"75.0%","31.3%","100%",-817,-679,-8,5.7,"18.8%",186,"15.2%","18.1%",0.93,0.51
"Poppy","Support",1,"2.6%","2.6%","5.1%","100%","100%",0,4,1,0.3,"12.5%","57.1%","0%",-664,-101,3,1.4,"3.2%",106,"8.9%","7.5%",1.3,0.5
"Qiyana","Middle",1,"2.6%","10.3%","12.8%","0%","0%",10,4,2,3,"60.0%","12.1%","0%",-399,37,-4,7.1,"21.3%",583,"21.1%","27.2%",0.71,0.58
"Rek'Sai","Jungle",1,"2.6%","10.3%","12.8%","0%","100%",1,4,3,1,"50.0%","26.7%","0%",-604,-843,-21,3.9,"7.6%",148,"7.7%","12.2%",0.32,0.39
"Rumble","Support",1,"2.6%","0.0%","2.6%","0%","100%",2,10,8,1,"50.0%","30.3%","100%",-317,-765,-7,1.4,"5.9%",549,"19.8%","9.4%",1.59,0.26
"Sejuani","Support",1,"2.6%","7.7%","15.4%","100%","100%",1,0,11,12,"75.0%","0.0%","0%",232,619,5,1.7,"4.1%",161,"8.8%","9.7%",1.95,0.7
"Sett","Support",1,"2.6%","66.7%","100.0%","100%","0%",2,1,4,6,"37.5%","33.3%","100%",409,175,-1,2,"4.6%",199,"8.8%","10.1%",1.74,0.91
"Sett","Top",1,"2.6%","66.7%","100.0%","0%","0%",1,4,2,0.8,"60.0%","25.0%","0%",105,81,11,8.1,"24.3%",297,"21.5%","22.9%",0.41,0.05
"Shen","Support",1,"2.6%","0.0%","2.6%","0%","100%",1,6,5,1,"50.0%","16.2%","0%",272,847,12,1.4,"3.7%",233,"8.5%","11.9%",1.65,0.35
"Vladimir","Top",1,"2.6%","2.6%","5.1%","100%","100%",5,0,3,8,"50.0%","0.0%","0%",640,474,19,11.3,"28.7%",677,"29.9%","25.9%",0.42,0.23
"Volibear","Top",1,"2.6%","66.7%","100.0%","0%","0%",4,5,3,1.4,"70.0%","18.5%","100%",585,190,-5,7,"22.6%",486,"22.2%","22.4%",0.3,0.1
"Yuumi","Support",1,"2.6%","2.6%","5.1%","0%","100%",0,4,3,0.8,"50.0%","23.5%","0%",-162,94,9,1.3,"3.2%",220,"14.6%","8.2%",1.33,0.23
"Maokai","-",0,"0%","2.6%","2.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sona","-",0,"0%","5.1%","5.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Soraka","-",0,"0%","2.6%","2.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Taric","-",0,"0%","5.1%","5.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
