"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Afreeca Freecs",13,6,7,36.8,174,213,0.82,0.81,-0.39,"-5.2%",42.5,3.6,-758,"54%","54%","46%","38%","23%","37%","100%","38%","53%","50.3%","47.8%",3.09,1.33,1.97
"DAMWON Gaming",11,10,1,27.3,158,72,2.19,0.77,2.15,"14.0%",75.5,15.5,3140,"64%","82%","82%","68%","27%","51%","0%","73%","100%","50.3%","58.1%",3.3,1.17,1.64
"DRX",10,7,3,34.5,161,119,1.35,0.81,0.97,"6.8%",53.3,16.7,761,"40%","60%","60%","55%","20%","50%","75%","50%","67%","51.6%","54.9%",3.75,1.35,1.83
"Gen.G",13,9,4,30.4,207,122,1.7,0.83,0.98,"5.4%",61.5,7.7,1234,"54%","62%","69%","65%","62%","74%","100%","38%","54%","51.0%","53.1%",3.48,1.41,1.8
"Hanwha Life Esports",12,3,9,31.6,154,211,0.73,0.96,-0.4,"-2.5%",52,-27,-278,"58%","50%","42%","41%","67%","50%","0%","25%","36%","49.4%","46.0%",3.75,1.69,1.67
"KT Rolster",13,6,7,32.6,176,176,1,0.83,-0.27,"-1.4%",45.9,0.3,-789,"23%","38%","46%","42%","62%","47%","0%","46%","42%","49.6%","49.8%",4.05,1.45,1.73
"SANDBOX Gaming",10,4,6,33.7,98,134,0.73,0.69,-1.2,"-4.1%",34.9,5.1,-1333,"50%","30%","30%","45%","50%","49%","50%","40%","36%","49.4%","46.9%",3.46,1.5,1.6
"SeolHaeOne Prince",11,1,10,31.1,117,235,0.5,1.03,-1.61,"-13.8%",35.6,-26.5,-1334,"55%","27%","18%","32%","55%","34%","0%","27%","30%","48.2%","45.1%",3.81,1.43,1.78
"T1",11,8,3,32.7,173,100,1.73,0.75,1.32,"9.4%",67.9,4.9,1626,"82%","73%","82%","67%","73%","60%","0%","55%","67%","50.6%","55.2%",3.63,1.37,1.76
"Team Dynamics",12,4,8,33,171,214,0.8,0.97,-1.09,"-7.3%",31.4,2,-2053,"25%","25%","25%","48%","58%","47%","100%","25%","40%","49.6%","44.0%",3.27,1.23,1.67
