"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Bdd","Gen.G","Middle",15,"60%","80%",58,24,63,5,"63.0%","30.2%","15.3%","7%",-141,-37,0.7,9.1,"25.7%",464,"25.6%","25.1%",0.51,0.24
"Ben","Afreeca Freecs","Support",14,"64%","29%",2,30,128,4.3,"72.2%","1.1%","22.6%","36%",-156,-24,-5.3,0.9,"2.0%",139,"7.4%","8.1%",1.49,0.19
"BeryL","DAMWON Gaming","Support",13,"85%","54%",37,23,97,5.8,"65.0%","18.0%","20.0%","23%",444,32,19.2,3.1,"10.6%",248,"11.4%","14.0%",1.61,0.51
"Canna","T1","Top",15,"60%","60%",48,18,62,6.1,"54.5%","23.8%","14.3%","33%",89,-9,-3.9,8.7,"25.2%",419,"23.6%","23.1%",0.45,0.21
"Canyon","DAMWON Gaming","Jungle",13,"85%","38%",23,19,110,7,"64.6%","11.2%","16.5%","31%",269,331,9.5,5.7,"15.0%",236,"11.0%","16.8%",0.53,0.48
"Chovy","DRX","Middle",15,"80%","40%",52,21,93,6.9,"71.4%","25.6%","16.4%","13%",286,320,9.4,9.6,"26.6%",550,"26.4%","25.3%",0.44,0.34
"Clid","Gen.G","Jungle",15,"60%","40%",33,34,92,3.7,"65.1%","17.2%","21.7%","20%",-184,-119,-1.9,5.5,"15.7%",258,"13.5%","16.9%",0.81,0.51
"Cuzz","T1","Jungle",9,"56%","33%",10,15,53,4.2,"64.9%","10.3%","21.4%","44%",-15,-55,-0.6,5.3,"12.7%",222,"13.1%","15.3%",0.64,0.64
"Deft","DRX","ADC",15,"80%","53%",48,21,96,6.9,"70.9%","23.6%","16.4%","27%",240,235,4.8,9.5,"28.4%",667,"31.3%","24.5%",0.52,0.42
"Doran","DRX","Top",15,"80%","27%",35,38,82,3.1,"57.6%","17.2%","29.7%","13%",38,-18,0.7,8.5,"24.7%",365,"17.6%","21.7%",0.44,0.17
"Effort","T1","Support",13,"62%","62%",9,36,111,3.3,"69.4%","5.2%","33.3%","46%",75,78,0.7,1.2,"2.7%",139,"8.1%","8.5%",1.86,0.49
"Ellim","T1","Jungle",6,"67%","33%",18,6,48,11,"62.9%","17.1%","10.7%","33%",192,-51,0,5.2,"12.5%",229,"11.1%","15.5%",0.56,0.44
"Faker","T1","Middle",15,"60%","20%",44,25,90,5.4,"66.3%","21.8%","19.8%","27%",145,1,1.9,9.3,"24.6%",458,"25.7%","24.7%",0.58,0.27
"Fly","Afreeca Freecs","Middle",14,"64%","79%",42,25,95,5.5,"76.1%","23.3%","18.8%","21%",-144,-170,-5.9,7.9,"22.2%",424,"22.5%","22.3%",0.5,0.19
"Ghost","DAMWON Gaming","ADC",13,"85%","62%",47,27,85,4.9,"64.1%","22.8%","23.5%","15%",-241,5,-20.5,7.4,"21.8%",511,"23.7%","20.7%",0.72,0.28
"Kellin","Gen.G","Support",7,"57%","29%",7,15,55,4.1,"68.1%","7.7%","20.5%","43%",21,-382,-7.1,1,"1.9%",160,"8.1%","8.6%",2.13,0.31
"Keria","DRX","Support",15,"80%","53%",21,17,121,8.4,"70.0%","10.3%","13.3%","27%",196,75,5.5,1.5,"3.5%",173,"8.4%","9.8%",1.5,0.35
"Kiin","Afreeca Freecs","Top",14,"64%","57%",47,28,69,4.1,"64.4%","26.1%","21.1%","21%",20,109,3.1,8.3,"25.6%",456,"24.0%","23.5%",0.47,0.23
"Kuri","T1","Support",2,"50%","100%",0,7,9,1.3,"31.0%","0.0%","38.9%","0%",-11,-285,-3,0.7,"1.1%",94,"5.0%","6.3%",2.04,0.15
"Life","Gen.G","Support",8,"63%","75%",3,20,63,3.3,"65.3%","3.0%","23.8%","25%",-340,-293,-12.5,0.9,"2.3%",113,"6.5%","8.2%",1.54,0.34
"Mystic","Afreeca Freecs","ADC",14,"64%","21%",69,23,69,6,"76.7%","38.3%","17.3%","29%",-37,-76,3.5,10.5,"36.1%",639,"34.1%","29.6%",0.37,0.54
"Nuguri","DAMWON Gaming","Top",13,"85%","54%",40,36,72,3.1,"54.4%","19.4%","31.3%","8%",275,134,4.5,8.9,"27.4%",573,"26.4%","24.5%",0.45,0.18
"Pyosik","DRX","Jungle",15,"80%","87%",47,31,104,4.9,"74.4%","23.2%","24.2%","33%",296,348,7.9,6.4,"16.8%",331,"16.3%","18.7%",0.63,0.47
"Rascal","Gen.G","Top",15,"60%","53%",33,36,86,3.3,"62.0%","17.2%","22.9%","47%",93,114,1.2,8.2,"23.8%",379,"21.7%","21.9%",0.44,0.14
"Ruler","Gen.G","ADC",15,"60%","47%",58,28,73,4.7,"68.2%","30.2%","17.8%","20%",376,353,20.6,10.3,"32.6%",590,"32.0%","27.8%",0.43,0.48
"ShowMaker","DAMWON Gaming","Middle",13,"85%","38%",59,10,81,14,"68.0%","28.6%","8.7%","15%",258,295,7.1,8.8,"25.2%",597,"27.6%","24.1%",0.42,0.16
"Spirit","Afreeca Freecs","Jungle",14,"64%","36%",20,27,112,4.9,"73.3%","11.1%","20.3%","43%",-91,-105,-3.3,5.2,"14.1%",230,"12.0%","16.5%",0.66,0.67
"Teddy","T1","ADC",15,"60%","80%",73,19,73,7.7,"72.3%","36.1%","15.1%","33%",177,-44,0.5,11,"35.1%",557,"30.7%","28.6%",0.68,0.44
